state_ut,district,year,infanticid,other_murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
Andhra Pradesh,ADILABAD,2013,0,1,21,9,0,0,0,0,0,0,1,1,33
Andhra Pradesh,ANANTAPUR,2013,0,1,15,68,0,3,0,0,0,0,0,0,87
Andhra Pradesh,CHITTOOR,2013,0,6,1,0,0,0,0,0,0,0,0,0,7
Andhra Pradesh,CUDDAPAH,2013,2,0,14,32,0,0,0,0,0,0,1,0,49
Andhra Pradesh,CYBERABAD,2013,1,8,45,69,2,0,2,9,0,0,1,19,156
Andhra Pradesh,EAST GODAVARI,2013,0,0,4,1,0,0,0,0,0,0,0,20,25
Andhra Pradesh,GUNTAKAL RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,GUNTUR,2013,1,9,21,46,0,0,7,0,0,0,0,0,84
Andhra Pradesh,GUNTUR URBAN,2013,0,0,23,24,0,0,3,0,0,0,0,0,50
Andhra Pradesh,HYDERABAD CITY,2013,0,2,21,16,0,1,0,1,0,0,0,11,52
Andhra Pradesh,KARIMNAGAR,2013,1,3,33,84,0,0,0,0,0,0,1,4,126
Andhra Pradesh,KHAMMAM,2013,1,4,46,83,1,0,0,0,0,0,2,89,226
Andhra Pradesh,KRISHNA,2013,0,2,49,35,0,3,0,0,0,0,0,81,170
Andhra Pradesh,KURNOOL,2013,1,0,15,50,0,0,6,0,0,0,0,27,99
Andhra Pradesh,MAHABOOBNAGAR,2013,0,12,70,35,0,0,2,6,0,0,0,0,125
Andhra Pradesh,MEDAK,2013,0,1,35,11,0,0,2,17,0,0,0,0,66
Andhra Pradesh,NALGONDA,2013,0,1,53,70,2,0,1,0,0,0,3,0,130
Andhra Pradesh,NELLORE,2013,0,4,13,61,0,1,3,0,0,0,0,55,137
Andhra Pradesh,NIZAMABAD,2013,0,6,24,9,2,0,5,6,0,0,2,11,65
Andhra Pradesh,PRAKASHAM,2013,0,3,35,36,0,0,1,1,0,1,0,57,134
Andhra Pradesh,RAJAHMUNDRY,2013,0,0,10,2,0,0,1,0,0,0,0,9,22
Andhra Pradesh,RANGA REDDY,2013,0,5,21,13,0,0,0,0,0,0,1,6,46
Andhra Pradesh,SECUNDERABAD RLY.,2013,0,1,0,2,0,0,0,0,0,0,0,0,3
Andhra Pradesh,SRIKAKULAM,2013,0,2,18,15,0,2,0,0,0,0,1,32,70
Andhra Pradesh,TIRUPATHI URBAN,2013,0,1,2,8,0,0,0,0,0,0,0,0,11
Andhra Pradesh,VIJAYAWADA CITY,2013,0,1,28,38,0,0,6,0,0,0,1,111,185
Andhra Pradesh,VIJAYAWADA RLY.,2013,0,0,0,1,0,0,4,0,0,0,0,1,6
Andhra Pradesh,VISAKHA RURAL,2013,0,1,9,12,0,0,0,0,0,0,0,2,24
Andhra Pradesh,VISAKHAPATNAM,2013,0,2,33,54,0,0,0,0,0,0,0,3,92
Andhra Pradesh,VIZIANAGARAM,2013,0,0,13,10,0,0,0,0,0,0,0,17,40
Andhra Pradesh,WARANGAL,2013,0,3,33,45,0,4,0,0,0,0,1,1,87
Andhra Pradesh,WARANGAL URBAN,2013,0,0,24,27,0,0,0,0,0,0,0,2,53
Andhra Pradesh,WEST GODAVARI,2013,0,8,41,48,0,0,0,0,0,1,1,17,116
Andhra Pradesh,TOTAL,2013,7,87,770,1014,7,14,43,40,0,2,16,576,2576
Arunachal Pradesh,ANJAW,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,CHANGLANG,2013,0,0,4,5,0,0,0,0,0,0,0,0,9
Arunachal Pradesh,DIBANG VALLEY,2013,0,0,0,1,0,0,0,0,0,0,0,2,3
Arunachal Pradesh,K/KUMEY,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,KAMENG EAST,2013,0,0,1,7,0,0,0,0,0,0,0,0,8
Arunachal Pradesh,KAMENG WEST,2013,0,0,1,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,LOHIT,2013,0,0,7,14,0,0,0,0,0,0,0,0,21
Arunachal Pradesh,LONGDING,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,PAPUM PARE,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,RURAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SIANG EAST,2013,0,0,8,5,0,0,0,0,0,0,0,2,15
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,SIANG WEST,2013,0,0,5,4,0,0,0,0,0,0,0,1,10
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,9,1,0,0,0,0,0,0,0,1,11
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TIRAP,2013,0,0,0,2,0,0,0,0,0,0,0,1,3
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,TOTAL,2013,0,0,35,40,0,0,0,0,0,0,0,7,82
Assam,BAKSA,2013,0,0,1,4,0,0,0,0,0,0,0,0,5
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BIEO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2013,0,0,3,0,0,0,0,0,0,0,0,0,3
Assam,C.I.D.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2013,0,0,3,5,0,0,0,0,0,0,0,0,8
Assam,CHIRANG,2013,0,1,10,10,0,0,0,0,0,0,0,0,21
Assam,DARRANG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2013,0,1,138,7,0,0,0,127,0,0,1,7,281
Assam,DIBRUGARH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2013,0,0,26,2,0,0,0,0,0,0,0,0,28
