states_uts,district,year,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnaping_abduction,kidnaping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,kidnaping_abduction_others,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty_total,sexual_harassment,assault_on_women_with_intent_to_disrobe,voyeurism,stalking,others,insult_to_the_modesty_of_women_total,at_office_premises,in_places_related_to_work,in_public_transport_system,in_other_places,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,dacoity_total,dacoity_with_murder,other_dacoity,robbery,arson,humantrafficking,abetment_of_suicides_of_women,unnatural_offences,other_ipc_crimes,dowry_prohibition_act_1961,indecent_representation_of_women_p_act_1986,commission_of_sati_prevention_act_1987,protection_of_women_from_domestic_violence_act_2005,immoral_traffic_prevention_act,itp_under_section_5,itp_under_section_6,itp_under_section_7,itp_under_section_8,itp_under_other_sections,other_sll_crimes_against_women,total_crimes_against_women
Arunachal Pradesh,Tawang,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Tirap,2014,3,0,0,0,3,0,3,0,3,1,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,8
Arunachal Pradesh,Total,2014,83,4,0,4,79,5,74,10,91,25,1,1,20,44,1,121,21,0,6,1,93,3,0,0,0,3,42,0,14,4,0,0,24,24,0,0,false,0,0,0,0,1,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,396
Assam,Barpeta,2014,143,0,0,0,143,0,143,0,359,0,0,0,359,0,21,556,198,358,0,0,0,0,0,0,0,0,1116,0,3,0,0,0,5,5,0,0,false,0,0,0,0,0,2,0,0,0,0,0,0,false,0,1,0,1,0,0,0,0,2206
Assam,Baska,2014,26,0,0,0,26,0,26,0,36,0,0,0,36,0,4,27,0,0,0,0,27,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,4,0,false,0,0,0,0,0,0,0,0,174
Assam,Bongaigaon,2014,31,0,0,0,31,0,31,0,29,0,0,0,29,0,4,8,0,0,0,0,8,0,0,0,0,0,178,0,2,3,0,0,16,16,0,0,false,0,1,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,272
Assam,Cachar,2014,81,0,0,0,81,0,81,0,214,0,0,0,214,0,14,50,0,0,0,0,50,0,0,0,0,0,595,0,4,1,0,0,3,3,0,0,false,0,1,0,1,0,5,0,0,0,15,0,0,false,0,3,0,0,0,0,3,0,986
Assam,Chirang,2014,29,0,0,0,29,1,28,5,42,0,0,0,42,0,7,33,0,0,0,0,33,0,0,0,0,0,60,0,7,1,0,0,15,15,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,199
Assam,Darrang,2014,111,0,0,0,111,3,108,23,186,0,0,0,186,0,11,453,33,0,0,0,420,0,0,0,0,0,489,0,4,0,0,0,47,47,0,0,false,0,0,0,0,3,0,2,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1329
Assam,Dhemaji,2014,45,0,0,0,45,5,40,12,68,0,0,0,68,0,3,51,3,18,0,0,30,1,0,1,0,0,111,0,1,0,2,0,33,33,0,0,false,0,0,0,0,0,0,0,0,0,0,2,0,false,0,0,0,0,0,0,0,0,329
Assam,Dhubri,2014,193,0,0,0,193,0,193,0,405,0,0,0,405,0,10,193,0,0,0,0,193,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1987
Assam,Dibrugarh,2014,67,0,0,0,67,0,67,0,123,0,0,0,123,0,5,105,0,0,0,0,105,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,1,0,0,0,0,1,0,554
Assam,Goalpara,2014,108,0,0,0,108,0,108,0,119,0,0,0,119,0,8,121,0,0,0,0,121,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,2,0,0,0,0,0,false,0,0,0,0,0,0,0,0,725
Assam,Golaghat,2014,74,0,0,0,74,0,74,37,190,0,0,0,190,0,7,74,0,0,0,0,74,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,4,0,0,0,0,0,false,0,0,0,0,0,0,0,0,552
Assam,Guwahati City,2014,100,0,0,0,100,1,99,25,424,0,0,3,421,0,11,143,50,23,0,0,70,0,0,0,0,0,486,0,13,7,0,0,0,0,0,0,false,0,0,0,0,97,0,0,0,0,0,0,0,false,0,8,6,0,2,0,0,0,1314
Assam,Hailakandi,2014,77,0,0,0,77,0,77,0,89,0,0,0,89,0,4,23,0,0,0,0,23,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,402
Assam,Jorhat,2014,36,0,0,0,36,0,36,0,72,0,0,0,72,0,6,157,0,0,0,0,157,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,672
Assam,Kamrup,2014,77,0,0,0,77,0,77,23,47,0,0,0,39,8,1,15,0,0,0,0,15,0,0,0,0,0,595,0,2,0,0,0,3,3,0,0,false,0,1,0,1,16,4,4,0,0,0,0,0,false,0,0,0,0,0,0,0,0,788
Assam,Karbi Anglong,2014,23,0,0,0,23,1,22,6,55,0,0,0,55,0,0,26,0,0,0,0,26,0,0,0,0,0,42,0,7,5,0,0,0,0,0,0,false,0,0,0,0,0,0,11,0,0,30,0,0,false,1,0,0,0,0,0,0,0,206
