area_name,year,group_name,sub_group_name,persons_acquitted,persons_against_whom_cases_compounded_or_withdrawn,persons_arrested,persons_chargesheeted,persons_convicted,persons_in_custody_or_on_bail_during_investigation_at_year_beginning,persons_in_custody_or_on_bail_during_investigation_at_year_end,persons_in_custody_or_on_bail_during_trial_at_year_end,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_trial_completed,persons_under_trial_at_year_beginning,total_persons_under_trial
Sikkim,2007,Molestation,04. Molestation,6,3,11,9,0,5,5,32,2,6,32,41
Tamil Nadu,2007,Molestation,04. Molestation,1239,1,1945,1788,840,219,334,3989,42,2079,4281,6069
Tripura,2007,Molestation,04. Molestation,138,0,197,155,21,14,40,203,16,159,207,362
Uttar Pradesh,2007,Molestation,04. Molestation,1019,135,3485,3212,1676,98,169,9740,202,2695,9358,12570
Uttarakhand,2007,Molestation,04. Molestation,33,29,306,239,136,10,48,592,29,169,551,790
West Bengal,2007,Molestation,04. Molestation,804,31,1712,1839,87,1161,956,8940,78,891,8023,9862
Andaman & Nicobar Islands,2008,Molestation,04. Molestation,4,0,32,35,0,10,7,192,0,4,161,196
Andhra Pradesh,2008,Molestation,04. Molestation,1895,1579,4922,4831,608,1639,1543,5882,187,2503,5133,9964
Arunachal Pradesh,2008,Molestation,04. Molestation,7,8,73,66,16,12,11,348,8,23,313,379
Assam,2008,Molestation,04. Molestation,605,102,1307,833,227,848,989,1895,333,832,1996,2829
Bihar,2008,Molestation,04. Molestation,629,116,1165,1042,105,504,624,3352,3,734,3160,4202
Chandigarh,2008,Molestation,04. Molestation,21,0,22,30,1,22,12,95,2,22,87,117
Chhattisgarh,2008,Molestation,04. Molestation,575,279,1934,1921,330,59,36,7755,36,905,7018,8939
Dadra & Nagar Haveli,2008,Molestation,04. Molestation,0,0,7,7,0,0,0,22,0,0,15,22
Daman & Diu,2008,Molestation,04. Molestation,1,3,1,1,0,0,0,4,0,1,7,8
Delhi,2008,Molestation,04. Molestation,443,0,855,961,266,790,649,4510,35,709,4258,5219
Goa,2008,Molestation,04. Molestation,18,1,28,33,3,26,17,86,4,21,75,108
Gujarat,2008,Molestation,04. Molestation,776,135,1291,1296,111,62,57,9428,0,887,9154,10450
Haryana,2008,Molestation,04. Molestation,338,8,533,540,131,43,36,2444,0,469,2381,2921
Himachal Pradesh,2008,Molestation,04. Molestation,169,67,358,378,44,67,47,1611,0,213,1513,1891
Jammu & Kashmir,2008,Molestation,04. Molestation,699,255,1748,1748,57,1,1,9622,0,756,8885,10633
Jharkhand,2008,Molestation,04. Molestation,290,23,302,362,51,153,87,856,6,341,858,1220
Karnataka,2008,Molestation,04. Molestation,1534,647,2927,2751,110,151,281,5389,46,1644,4929,7680
Kerala,2008,Molestation,04. Molestation,1916,514,3452,3504,258,466,414,10467,0,2174,9651,13155
Lakshadweep,2008,Molestation,04. Molestation,0,0,0,0,0,0,0,1,0,0,1,1
Madhya Pradesh,2008,Molestation,04. Molestation,2828,2745,7686,7683,2898,12,15,30559,0,5726,31347,39030
Maharashtra,2008,Molestation,04. Molestation,1965,522,4334,4253,205,802,866,30686,17,2170,29125,33378
Manipur,2008,Molestation,04. Molestation,0,0,47,0,0,38,25,8,60,0,8,8
Meghalaya,2008,Molestation,04. Molestation,16,2,18,19,11,41,38,130,2,27,140,159
Mizoram,2008,Molestation,04. Molestation,8,0,76,71,40,35,40,55,0,48,32,103
Nagaland,2008,Molestation,04. Molestation,1,0,22,14,5,3,5,12,6,6,4,18
Odisha,2008,Molestation,04. Molestation,2445,0,3765,3746,383,277,296,18508,0,2828,17590,21336
Puducherry,2008,Molestation,04. Molestation,32,3,85,92,9,8,1,328,0,41,280,372
Punjab,2008,Molestation,04. Molestation,229,0,512,458,112,329,328,1504,55,341,1387,1845
Rajasthan,2008,Molestation,04. Molestation,787,575,2893,2898,1076,5,0,12591,0,1863,12131,15029
Sikkim,2008,Molestation,04. Molestation,19,0,18,20,3,5,3,30,0,22,32,52
Tamil Nadu,2008,Molestation,04. Molestation,947,2,2220,2059,543,334,428,4556,67,1490,3989,6048
Tripura,2008,Molestation,04. Molestation,145,4,349,312,18,40,31,348,46,163,203,515
Uttar Pradesh,2008,Molestation,04. Molestation,1307,161,4109,3723,2277,169,172,9718,383,3584,9740,13463
Uttarakhand,2008,Molestation,04. Molestation,38,36,160,177,123,48,5,572,26,161,592,769
West Bengal,2008,Molestation,04. Molestation,719,18,1584,1567,93,956,924,9677,49,812,8940,10507
Andaman & Nicobar Islands,2009,Molestation,04. Molestation,8,0,40,36,0,7,11,220,0,8,192,228
Andhra Pradesh,2009,Molestation,04. Molestation,2627,1787,5441,5163,427,1543,1682,6204,139,3054,5882,11045
Arunachal Pradesh,2009,Molestation,04. Molestation,11,3,70,57,15,11,14,376,10,26,348,405
Assam,2009,Molestation,04. Molestation,582,12,1614,1050,156,989,1050,2195,503,738,1895,2945
Bihar,2009,Molestation,04. Molestation,573,76,795,721,95,624,696,3329,2,668,3352,4073
Chandigarh,2009,Molestation,04. Molestation,22,0,39,24,3,12,22,94,5,25,95,119
Chhattisgarh,2009,Molestation,04. Molestation,738,268,1817,1790,307,36,55,8232,8,1045,7755,9545
Dadra & Nagar Haveli,2009,Molestation,04. Molestation,0,0,2,2,0,0,0,24,0,0,22,24
Daman & Diu,2009,Molestation,04. Molestation,0,0,5,0,0,0,5,4,0,0,4,4
Delhi,2009,Molestation,04. Molestation,285,0,710,776,231,649,582,4770,1,516,4510,5286
Goa,2009,Molestation,04. Molestation,9,0,35,22,3,17,24,96,6,12,86,108
Gujarat,2009,Molestation,04. Molestation,607,46,1025,1015,50,57,67,9740,0,657,9428,10443
Haryana,2009,Molestation,04. Molestation,332,6,553,550,129,36,39,2527,0,461,2444,2994
Himachal Pradesh,2009,Molestation,04. Molestation,171,62,345,354,34,47,38,1698,0,205,1611,1965
Jammu & Kashmir,2009,Molestation,04. Molestation,884,208,2044,2043,217,1,2,10356,0,1101,9622,11665
Jharkhand,2009,Molestation,04. Molestation,235,9,327,291,102,87,123,801,0,337,856,1147
Karnataka,2009,Molestation,04. Molestation,1727,471,3159,3032,91,281,303,6132,105,1818,5389,8421
Kerala,2009,Molestation,04. Molestation,1729,330,3238,3293,234,414,359,11467,0,1963,10467,13760
Lakshadweep,2009,Molestation,04. Molestation,1,0,0,0,0,0,0,0,0,1,1,1
Madhya Pradesh,2009,Molestation,04. Molestation,3452,3326,7567,7556,1941,15,26,29396,0,5393,30559,38115
Maharashtra,2009,Molestation,04. Molestation,2013,524,3938,3826,191,866,966,31784,12,2204,30686,34512
Manipur,2009,Molestation,04. Molestation,0,0,40,2,0,25,37,10,26,0,8,10
Meghalaya,2009,Molestation,04. Molestation,8,0,42,65,3,38,11,184,4,11,130,195
Mizoram,2009,Molestation,04. Molestation,8,0,78,113,60,40,5,100,0,68,55,168
Nagaland,2009,Molestation,04. Molestation,1,0,13,10,9,5,6,12,2,10,12,22
Odisha,2009,Molestation,04. Molestation,1563,0,3589,3534,120,296,351,20359,0,1683,18508,22042
Puducherry,2009,Molestation,04. Molestation,64,18,53,53,16,1,1,283,0,80,328,381
Punjab,2009,Molestation,04. Molestation,208,0,355,315,104,328,350,1507,18,312,1504,1819
Rajasthan,2009,Molestation,04. Molestation,660,570,2692,2692,893,0,0,13160,0,1553,12591,15283
Sikkim,2009,Molestation,04. Molestation,10,32,36,32,8,3,7,12,0,18,30,62
Tamil Nadu,2009,Molestation,04. Molestation,1038,0,1916,1936,716,428,399,4738,9,1754,4556,6492
Tripura,2009,Molestation,04. Molestation,350,38,434,354,16,31,58,298,53,366,348,702
Uttar Pradesh,2009,Molestation,04. Molestation,1054,67,4026,3656,2510,172,132,9743,410,3564,9718,13374
Uttarakhand,2009,Molestation,04. Molestation,77,6,178,172,173,5,11,488,0,250,572,744
West Bengal,2009,Molestation,04. Molestation,807,116,1640,1602,100,924,874,10256,88,907,9677,11279
Andaman & Nicobar Islands,2010,Molestation,04. Molestation,5,0,40,34,0,11,17,249,0,5,220,254
Andhra Pradesh,2010,Molestation,04. Molestation,2374,922,4622,4698,484,1682,1406,7122,200,2858,6204,10902
Arunachal Pradesh,2010,Molestation,04. Molestation,5,1,88,61,5,14,31,426,10,10,376,437
Assam,2010,Molestation,04. Molestation,559,46,2020,1090,138,1050,1413,2542,567,697,2195,3285
Bihar,2010,Molestation,04. Molestation,506,77,808,676,109,696,761,3313,67,615,3329,4005
Chandigarh,2010,Molestation,04. Molestation,28,0,28,30,7,22,13,89,7,35,94,124
Chhattisgarh,2010,Molestation,04. Molestation,1126,266,1969,1960,512,55,56,8288,8,1638,8232,10192
Dadra & Nagar Haveli,2010,Molestation,04. Molestation,0,0,12,5,2,0,7,27,0,2,24,29
Daman & Diu,2010,Molestation,04. Molestation,2,1,2,1,0,5,6,2,0,2,4,5
Delhi,2010,Molestation,04. Molestation,395,0,794,721,336,582,641,4760,14,731,4770,5491
Goa,2010,Molestation,04. Molestation,35,0,37,38,4,24,18,95,5,39,96,134
Gujarat,2010,Molestation,04. Molestation,671,42,986,972,29,67,81,9970,0,700,9740,10712
Haryana,2010,Molestation,04. Molestation,374,0,605,596,165,39,48,2584,0,539,2527,3123
Himachal Pradesh,2010,Molestation,04. Molestation,152,65,418,421,27,38,35,1875,0,179,1698,2119
Jammu & Kashmir,2010,Molestation,04. Molestation,701,270,2053,2049,55,2,6,11379,0,756,10356,12405
Jharkhand,2010,Molestation,04. Molestation,306,4,273,318,58,123,73,751,5,364,801,1119
Karnataka,2010,Molestation,04. Molestation,1821,494,3411,3102,89,303,431,6830,181,1910,6132,9234
Kerala,2010,Molestation,04. Molestation,1742,276,3585,3602,246,359,342,12805,0,1988,11467,15069
Lakshadweep,2010,Molestation,04. Molestation,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Molestation,04. Molestation,3636,3302,7863,7838,2155,26,23,28141,28,5791,29396,37234
Maharashtra,2010,Molestation,04. Molestation,2183,427,4386,4047,206,966,1298,33015,7,2389,31784,35831
Manipur,2010,Molestation,04. Molestation,0,0,23,0,0,37,43,10,17,0,10,10
Meghalaya,2010,Molestation,04. Molestation,10,3,29,27,4,11,12,194,1,14,184,211
Mizoram,2010,Molestation,04. Molestation,12,0,79,81,122,5,3,47,0,134,100,181
Nagaland,2010,Molestation,04. Molestation,7,2,15,11,1,6,2,13,8,8,12,23
Odisha,2010,Molestation,04. Molestation,1876,0,4116,4265,147,351,202,22601,0,2023,20359,24624
Puducherry,2010,Molestation,04. Molestation,52,15,71,72,11,1,0,277,0,63,283,355
Punjab,2010,Molestation,04. Molestation,291,2,454,445,162,303,276,1283,36,453,1293,1738
Rajasthan,2010,Molestation,04. Molestation,599,459,2598,2598,804,0,0,13896,0,1403,13160,15758
Sikkim,2010,Molestation,04. Molestation,8,2,23,13,3,7,12,12,5,11,12,25
Tamil Nadu,2010,Molestation,04. Molestation,1008,0,1946,1598,765,399,732,4563,15,1773,4738,6336
Tripura,2010,Molestation,04. Molestation,309,18,456,358,36,58,42,293,114,345,298,656
Uttar Pradesh,2010,Molestation,04. Molestation,1137,71,4189,3646,2810,132,179,9371,496,3947,9743,13389
Uttarakhand,2010,Molestation,04. Molestation,16,9,184,183,65,11,6,581,6,81,488,671
West Bengal,2010,Molestation,04. Molestation,706,21,1841,2167,91,874,490,11605,58,797,10256,12423
Andaman & Nicobar Islands,2001,Sexual harassment,05. Sexual Harassment,0,0,1,1,0,0,0,6,0,0,5,6
Andhra Pradesh,2001,Sexual harassment,05. Sexual Harassment,734,268,2268,2068,1136,380,546,1894,34,1870,1964,4032
Arunachal Pradesh,2001,Sexual harassment,05. Sexual Harassment,0,0,3,3,0,1,1,4,0,0,1,4
Assam,2001,Sexual harassment,05. Sexual Harassment,7,0,11,7,3,11,13,31,2,10,34,41
Bihar,2001,Sexual harassment,05. Sexual Harassment,32,4,37,42,8,76,61,112,10,40,114,156
Chandigarh,2001,Sexual harassment,05. Sexual Harassment,7,0,17,19,6,4,2,29,0,13,23,42
Chhattisgarh,2001,Sexual harassment,05. Sexual Harassment,72,53,194,210,89,16,0,1187,0,161,1191,1401
Dadra & Nagar Haveli,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Daman & Diu,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Sexual harassment,05. Sexual Harassment,52,0,107,106,26,42,41,531,2,78,503,609
Goa,2001,Sexual harassment,05. Sexual Harassment,12,1,8,6,1,3,5,24,0,13,32,38
Gujarat,2001,Sexual harassment,05. Sexual Harassment,57,3,147,149,6,2,0,815,0,63,732,881
Haryana,2001,Sexual harassment,05. Sexual Harassment,173,0,480,471,527,3,11,982,1,700,1211,1682
Himachal Pradesh,2001,Sexual harassment,05. Sexual Harassment,17,8,18,19,2,1,0,152,0,19,160,179
Jammu & Kashmir,2001,Sexual harassment,05. Sexual Harassment,193,13,367,360,68,1,1,982,7,261,896,1256
Jharkhand,2001,Sexual harassment,05. Sexual Harassment,10,0,46,6,10,11,50,140,1,20,154,160
Karnataka,2001,Sexual harassment,05. Sexual Harassment,57,2,71,72,11,5,4,116,0,68,114,186
Kerala,2001,Sexual harassment,05. Sexual Harassment,56,8,127,102,3,8,32,261,1,59,226,328
Lakshadweep,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Sexual harassment,05. Sexual Harassment,433,157,1123,1106,306,1,12,2549,6,739,2339,3445
Maharashtra,2001,Sexual harassment,05. Sexual Harassment,475,209,1314,1309,33,60,60,7185,5,508,6593,7902
Manipur,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Mizoram,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Sexual harassment,05. Sexual Harassment,398,0,539,541,45,7,5,619,0,443,521,1062
Puducherry,2001,Sexual harassment,05. Sexual Harassment,7,16,45,45,20,0,0,26,0,27,24,69
Punjab,2001,Sexual harassment,05. Sexual Harassment,5,0,57,43,1,23,35,57,2,6,20,63
Rajasthan,2001,Sexual harassment,05. Sexual Harassment,31,16,58,58,41,0,0,289,0,72,319,377
Sikkim,2001,Sexual harassment,05. Sexual Harassment,2,1,18,7,5,6,6,1,11,7,2,9
Tamil Nadu,2001,Sexual harassment,05. Sexual Harassment,120,0,1229,1220,1051,40,24,658,25,1171,609,1829
Tripura,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Sexual harassment,05. Sexual Harassment,780,91,3961,3969,2159,143,96,6778,39,2939,5839,9808
Uttarakhand,2001,Sexual harassment,05. Sexual Harassment,57,2,137,132,108,5,4,211,6,165,246,378
West Bengal,2001,Sexual harassment,05. Sexual Harassment,32,0,56,34,1,22,29,60,15,33,59,93
Andaman & Nicobar Islands,2002,Sexual harassment,05. Sexual Harassment,0,0,3,3,0,0,0,9,0,0,6,9
Andhra Pradesh,2002,Sexual harassment,05. Sexual Harassment,595,192,2433,2146,1185,546,772,2068,61,1780,1894,4040
Arunachal Pradesh,2002,Sexual harassment,05. Sexual Harassment,0,0,4,1,0,1,4,5,0,0,4,5
Assam,2002,Sexual harassment,05. Sexual Harassment,5,0,7,5,0,13,13,31,2,5,31,36
Bihar,2002,Sexual harassment,05. Sexual Harassment,22,0,16,50,4,61,27,146,0,26,122,172
Chandigarh,2002,Sexual harassment,05. Sexual Harassment,7,0,31,33,13,2,0,42,0,20,29,62
Chhattisgarh,2002,Sexual harassment,05. Sexual Harassment,258,97,177,167,313,0,10,686,0,571,1187,1354
Dadra & Nagar Haveli,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Daman & Diu,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Sexual harassment,05. Sexual Harassment,34,0,171,112,41,41,98,568,2,75,531,643
Goa,2002,Sexual harassment,05. Sexual Harassment,5,2,8,8,0,5,5,25,0,5,24,32
Gujarat,2002,Sexual harassment,05. Sexual Harassment,73,2,142,139,4,0,3,875,0,77,815,954
Haryana,2002,Sexual harassment,05. Sexual Harassment,227,0,1612,1610,1331,11,13,1034,0,1558,982,2592
Himachal Pradesh,2002,Sexual harassment,05. Sexual Harassment,9,4,16,14,0,0,2,153,0,9,152,166
Jammu & Kashmir,2002,Sexual harassment,05. Sexual Harassment,244,5,458,452,146,1,7,1039,0,390,982,1434
Jharkhand,2002,Sexual harassment,05. Sexual Harassment,12,0,3,16,0,18,3,140,2,12,136,152
Karnataka,2002,Sexual harassment,05. Sexual Harassment,35,13,83,84,2,4,3,150,0,37,116,200
Kerala,2002,Sexual harassment,05. Sexual Harassment,47,15,113,108,25,32,7,282,30,72,261,369
Lakshadweep,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Sexual harassment,05. Sexual Harassment,277,319,1110,1114,273,12,8,2794,0,550,2549,3663
Maharashtra,2002,Sexual harassment,05. Sexual Harassment,754,187,972,969,40,60,58,7173,5,794,7185,8154
Manipur,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Mizoram,2002,Sexual harassment,05. Sexual Harassment,0,0,1,1,1,0,0,0,0,1,0,1
Nagaland,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Sexual harassment,05. Sexual Harassment,157,0,244,247,18,5,2,691,0,175,619,866
Puducherry,2002,Sexual harassment,05. Sexual Harassment,0,6,35,33,22,0,2,31,0,22,26,59
Punjab,2002,Sexual harassment,05. Sexual Harassment,32,0,185,167,92,35,37,100,16,124,57,224
Rajasthan,2002,Sexual harassment,05. Sexual Harassment,28,26,62,62,62,0,0,235,0,90,289,351
Sikkim,2002,Sexual harassment,05. Sexual Harassment,2,0,0,3,2,6,3,0,0,4,1,4
Tamil Nadu,2002,Sexual harassment,05. Sexual Harassment,189,8,1857,1859,1631,24,21,689,1,1820,658,2517
Tripura,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Sexual harassment,05. Sexual Harassment,1463,67,2771,2840,2035,96,8,6053,19,3498,6778,9618
Uttarakhand,2002,Sexual harassment,05. Sexual Harassment,17,0,135,138,71,4,0,261,1,88,211,349
West Bengal,2002,Sexual harassment,05. Sexual Harassment,37,0,49,47,3,29,29,67,2,40,60,107
Andaman & Nicobar Islands,2003,Sexual harassment,05. Sexual Harassment,0,0,2,2,0,0,0,11,0,0,9,11
Andhra Pradesh,2003,Sexual harassment,05. Sexual Harassment,1031,394,3066,2978,1068,772,770,2553,90,2099,2068,5046
Arunachal Pradesh,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,4,4,5,0,0,5,5
Assam,2003,Sexual harassment,05. Sexual Harassment,14,0,6,5,0,13,5,22,9,14,31,36
Bihar,2003,Sexual harassment,05. Sexual Harassment,62,2,20,37,13,27,10,106,0,75,146,183
Chandigarh,2003,Sexual harassment,05. Sexual Harassment,7,0,3,1,4,0,1,32,1,11,42,43
Chhattisgarh,2003,Sexual harassment,05. Sexual Harassment,59,115,155,152,73,10,13,668,0,132,763,915
Dadra & Nagar Haveli,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Daman & Diu,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Sexual harassment,05. Sexual Harassment,44,0,113,143,104,98,68,563,0,148,568,711
Goa,2003,Sexual harassment,05. Sexual Harassment,7,1,6,8,1,5,3,24,0,8,25,33
Gujarat,2003,Sexual harassment,05. Sexual Harassment,62,4,111,109,11,3,5,907,0,73,875,984
Haryana,2003,Sexual harassment,05. Sexual Harassment,202,0,1347,1360,1215,13,0,977,0,1417,1034,2394
Himachal Pradesh,2003,Sexual harassment,05. Sexual Harassment,26,1,18,18,1,2,1,143,1,27,153,171
Jammu & Kashmir,2003,Sexual harassment,05. Sexual Harassment,160,3,471,473,180,7,5,1169,0,340,1039,1512
Jharkhand,2003,Sexual harassment,05. Sexual Harassment,1,3,29,27,4,3,5,159,0,5,140,167
Karnataka,2003,Sexual harassment,05. Sexual Harassment,45,19,57,53,17,3,7,122,0,62,150,203
Kerala,2003,Sexual harassment,05. Sexual Harassment,45,24,222,178,15,7,51,376,0,60,282,460
Lakshadweep,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Sexual harassment,05. Sexual Harassment,401,229,907,908,279,1,0,2876,0,680,2877,3785
Maharashtra,2003,Sexual harassment,05. Sexual Harassment,532,234,951,917,41,58,92,7283,0,573,7173,8090
Manipur,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Sexual harassment,05. Sexual Harassment,0,0,1,0,0,0,0,1,1,0,1,1
Mizoram,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Sexual harassment,05. Sexual Harassment,0,2,5,2,0,0,0,0,3,0,0,2
Odisha,2003,Sexual harassment,05. Sexual Harassment,161,0,299,299,52,2,2,777,0,213,691,990
Puducherry,2003,Sexual harassment,05. Sexual Harassment,13,5,43,44,16,2,1,41,0,29,31,75
Punjab,2003,Sexual harassment,05. Sexual Harassment,46,0,225,170,62,37,43,162,49,108,100,270
Rajasthan,2003,Sexual harassment,05. Sexual Harassment,42,38,33,33,51,0,0,137,0,93,235,268
Sikkim,2003,Sexual harassment,05. Sexual Harassment,3,0,0,3,0,3,0,0,0,3,0,3
Tamil Nadu,2003,Sexual harassment,05. Sexual Harassment,174,1,884,822,525,21,82,820,1,699,698,1520
Tripura,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2003,Sexual harassment,05. Sexual Harassment,1317,119,6126,6113,2904,8,19,7826,2,4221,6053,12166
Uttarakhand,2003,Sexual harassment,05. Sexual Harassment,32,25,167,164,118,0,1,250,2,150,261,425
West Bengal,2003,Sexual harassment,05. Sexual Harassment,43,0,84,62,7,29,30,79,21,50,67,129
Andaman & Nicobar Islands,2004,Sexual harassment,05. Sexual Harassment,1,0,3,2,0,0,1,12,0,1,11,13
Andhra Pradesh,2004,Sexual harassment,05. Sexual Harassment,829,403,2528,2345,1135,770,850,2531,103,1964,2553,4898
Arunachal Pradesh,2004,Sexual harassment,05. Sexual Harassment,0,0,0,4,0,4,0,9,0,0,5,9
Assam,2004,Sexual harassment,05. Sexual Harassment,9,0,19,15,2,5,6,26,3,11,22,37
Bihar,2004,Sexual harassment,05. Sexual Harassment,21,46,18,21,4,10,1,56,6,25,106,127
Chandigarh,2004,Sexual harassment,05. Sexual Harassment,8,0,24,15,4,1,10,35,0,12,32,47
Chhattisgarh,2004,Sexual harassment,05. Sexual Harassment,174,74,155,156,93,13,2,483,10,267,668,824
Dadra & Nagar Haveli,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Daman & Diu,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2004,Sexual harassment,05. Sexual Harassment,50,0,137,129,40,68,72,602,4,90,563,692
Goa,2004,Sexual harassment,05. Sexual Harassment,5,3,17,10,0,3,10,26,0,5,24,34
Gujarat,2004,Sexual harassment,05. Sexual Harassment,50,3,251,253,16,5,3,1091,0,66,907,1160
Haryana,2004,Sexual harassment,05. Sexual Harassment,172,0,959,938,904,0,21,839,0,1076,977,1915
Himachal Pradesh,2004,Sexual harassment,05. Sexual Harassment,4,16,17,16,4,1,2,135,0,8,143,159
Jammu & Kashmir,2004,Sexual harassment,05. Sexual Harassment,231,0,319,319,107,5,5,1150,0,338,1169,1488
Jharkhand,2004,Sexual harassment,05. Sexual Harassment,1,3,29,27,4,5,7,178,0,5,159,186
Karnataka,2004,Sexual harassment,05. Sexual Harassment,49,4,63,69,47,7,1,91,0,96,122,191
Kerala,2004,Sexual harassment,05. Sexual Harassment,93,21,148,92,18,51,107,336,0,111,376,468
Lakshadweep,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Sexual harassment,05. Sexual Harassment,396,227,1032,1031,273,0,1,3011,0,669,2876,3907
Maharashtra,2004,Sexual harassment,05. Sexual Harassment,419,127,1092,1060,14,92,121,7783,3,433,7283,8343
Manipur,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Mizoram,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Sexual harassment,05. Sexual Harassment,134,0,255,248,31,2,9,860,0,165,777,1025
Puducherry,2004,Sexual harassment,05. Sexual Harassment,7,11,41,42,10,1,0,55,0,17,41,83
Punjab,2004,Sexual harassment,05. Sexual Harassment,28,5,43,64,66,43,8,127,14,94,162,226
Rajasthan,2004,Sexual harassment,05. Sexual Harassment,24,7,51,51,31,0,0,126,0,55,137,188
Sikkim,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Sexual harassment,05. Sexual Harassment,284,4,1037,1071,696,82,45,907,3,980,820,1891
Tripura,2004,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Sexual harassment,05. Sexual Harassment,875,70,4176,4159,2351,19,15,8689,21,3226,7826,11985
Uttarakhand,2004,Sexual harassment,05. Sexual Harassment,5,0,267,258,60,1,7,443,3,65,250,508
West Bengal,2004,Sexual harassment,05. Sexual Harassment,36,0,90,64,3,30,55,104,1,39,79,143
Andaman & Nicobar Islands,2005,Sexual harassment,05. Sexual Harassment,3,0,3,2,0,1,2,11,0,3,12,14
Andhra Pradesh,2005,Sexual harassment,05. Sexual Harassment,1234,347,2963,2856,1214,850,894,2592,63,2448,2531,5387
Arunachal Pradesh,2005,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,9,0,0,9,9
Assam,2005,Sexual harassment,05. Sexual Harassment,17,0,9,6,1,6,4,14,5,18,26,32
Bihar,2005,Sexual harassment,05. Sexual Harassment,20,0,27,18,1,1,7,53,3,21,56,74
Chandigarh,2005,Sexual harassment,05. Sexual Harassment,1,0,13,21,2,10,2,53,0,3,35,56
Chhattisgarh,2005,Sexual harassment,05. Sexual Harassment,95,18,173,175,50,2,0,495,0,145,483,658
Dadra & Nagar Haveli,2005,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,1,0,0,1,1
Daman & Diu,2005,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Sexual harassment,05. Sexual Harassment,124,0,255,221,35,72,90,664,16,159,602,823
Goa,2005,Sexual harassment,05. Sexual Harassment,3,8,9,10,0,10,3,25,6,3,26,36
