states_uts,district,year,protection_of_civil_rights_act_1955,poa_murder,poa_attempt_to_commit_murder,poa_rape,poa_attempt_to_commit_rape,poa_assault_on_women_with_intent_to_outrage_her_modesty,poa_sexual_harassment,poa_assault_on_women_with_intent_to_disrobe,poa_voyeurism,poa_stalking,poa_other_sexual_harassment,poa_insult_to_the_modesty_of_women,poa_kidnapping_abduction_grandtotal,poa_kidnaping_abduction_total,poa_kidnaping_abduction_in_order_to_murder,poa_kidnapping_for_ransom,poa_kidnapping_abduction_of_women_to_compel_her_for_marriage,poa_other_kidnapping,poa_dacoity,poa_dacoity_with_murder,poa_other_dacoity,poa_robbery,poa_arson,poa_grievous_hurt,poa_hurt,poa_acid_attack,poa_attempt_to_acid_attack,poa_riots,poa_other_ipc_crimes,poa_sc_st_prevention_of_atrocities_act_only,total_of_sc_st_prevention_of_atrocities_act_1989,ipc_murder,ipc_attempt_to_commit_murder,ipc_rape,ipc_attempt_to_commit_rape,ipc_assault_on_women_with_intent_to_outrage_her_modesty,ipc_sexual_harassment,ipc_assault_on_women_with_intent_to_disrobe,ipc_voyeurism,ipc_stalking,ipc_other_sexual_harassment,ipc_insult_to_the_modesty_of_women,ipc_kidnapping_abduction,ipc_kidnaping_abduction,ipc_kidnaping_abduction_in_order_to_murder,ipc_kidnapping_for_ransom,ipc_kidnapping_abduction_of_women_to_compel_her_for_marriage,ipc_other_kidnapping,ipc_dacoity,ipc_dacoity_with_murder,ipc_other_dacoity,ipc_robbery,ipc_arson,ipc_grievous_hurt,ipc_hurt,ipc_acid_attack,ipc_attempt_to_acid_attack,ipc_riots,ipc_other_ipc_crimes,total_ipc_crimes_against_scs,manual_scavengers_and_construction_of_dry_latrines_p_act_1993,other_sll_crime_against_scs,total_crimes_against_scs
Uttar Pradesh,Jaunpur,2014,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,false,2,0,0,false,0,0,0,0,0,false,0,0,128,12,149,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,149
Uttar Pradesh,Jhansi,2014,0,7,12,2,1,5,5,0,0,0,0,0,8,7,0,true,0,0,0,false,0,0,1,1,1,false,0,0,0,87,124,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,124
Uttar Pradesh,Kannauj,2014,0,3,0,3,0,3,3,0,0,0,0,0,5,0,0,false,5,0,0,false,0,0,0,0,0,false,0,0,71,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,85
Uttar Pradesh,Kanpur Dehat,2014,0,2,0,3,0,2,0,0,0,0,2,0,9,0,0,false,9,0,0,false,0,0,1,15,15,false,0,0,62,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,94
Uttar Pradesh,Kanpur Nagar,2014,0,7,0,16,0,0,0,0,0,0,0,0,15,0,0,false,4,11,0,false,0,0,0,3,3,false,0,26,166,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,233
Uttar Pradesh,Kasganj,2014,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,3,3,false,0,2,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,29
Uttar Pradesh,Kaushambi,2014,0,3,0,6,0,14,14,0,0,0,0,0,3,0,0,false,3,0,0,false,0,0,1,10,10,false,0,0,61,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,98
Uttar Pradesh,Khiri,2014,0,7,0,9,0,14,0,0,0,0,14,0,8,0,0,false,8,0,0,false,0,0,0,24,24,false,0,0,45,57,164,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,164
Uttar Pradesh,Kushi Nagar,2014,0,2,0,5,0,6,6,0,0,0,0,0,6,0,0,false,6,0,0,false,0,0,0,23,23,false,0,9,55,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,106
Uttar Pradesh,Lalitpur,2014,0,1,0,5,0,0,0,0,0,0,0,0,6,0,0,false,6,0,0,false,0,0,0,2,2,false,0,0,13,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,59
Uttar Pradesh,Lucknow,2014,0,9,0,10,1,7,4,3,0,0,0,0,5,5,0,false,0,0,0,false,0,0,0,9,9,false,0,0,138,66,245,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,6,6,false,3,254
Uttar Pradesh,Maharajganj,2014,0,6,0,8,0,0,0,0,0,0,0,0,11,0,0,false,11,0,0,false,0,0,1,1,1,false,0,0,32,6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,65
Uttar Pradesh,Mahoba,2014,0,1,0,2,0,4,2,1,0,0,1,0,1,0,0,false,1,0,0,false,0,0,0,0,0,false,0,0,29,34,71,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,71
Uttar Pradesh,Mainpuri,2014,0,2,0,4,0,0,0,0,0,0,0,0,5,0,0,false,5,0,0,false,0,0,0,4,4,false,0,0,39,17,71,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,71
Uttar Pradesh,Mathura,2014,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,false,0,0,0,false,0,0,0,0,0,false,0,0,95,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,102
Uttar Pradesh,Mau,2014,0,0,0,2,1,4,4,0,0,0,0,0,3,0,0,false,3,0,0,false,0,0,1,6,6,false,0,0,24,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,41
Uttar Pradesh,Meerut,2014,0,3,0,18,0,0,0,0,0,0,0,0,12,0,0,false,12,0,0,false,0,1,0,9,9,false,0,0,105,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,148
Uttar Pradesh,Mirzapur,2014,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,1,1,false,0,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,25
Uttar Pradesh,Moradabad,2014,0,2,0,7,0,0,0,0,0,0,0,0,2,0,0,false,0,2,0,false,0,0,0,2,2,false,0,0,45,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,58
Uttar Pradesh,Muzaffarnagar,2014,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,43,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,54
Uttar Pradesh,Pilibhit,2014,0,1,0,7,0,13,0,1,0,2,10,0,8,0,1,false,7,0,0,false,0,0,0,0,0,false,0,0,93,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,122
Uttar Pradesh,Pratapgarh,2014,0,3,0,11,0,7,7,0,0,0,0,0,10,0,0,false,10,0,0,false,0,0,3,11,11,false,0,12,215,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,272
Uttar Pradesh,Raibareilly,2014,0,0,1,14,0,2,0,0,0,2,0,0,10,0,0,false,10,0,0,false,0,0,1,14,14,false,0,0,53,55,150,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,150
Uttar Pradesh,Rampur,2014,0,1,1,4,0,0,0,0,0,0,0,0,5,5,0,false,0,0,0,false,0,0,0,0,0,false,0,2,21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,34
Uttar Pradesh,Saharanpur,2014,0,8,8,16,2,6,2,2,0,0,2,0,2,0,0,false,2,0,0,false,0,0,0,8,8,false,0,17,17,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,84
Uttar Pradesh,Sambhal,2014,0,1,0,6,0,0,0,0,0,0,0,0,7,0,0,false,7,0,0,false,0,0,0,0,0,false,0,0,36,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,50
Uttar Pradesh,Sant Kabirnagar,2014,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,false,3,0,0,false,0,0,0,0,0,false,0,0,55,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,61
Uttar Pradesh,Shahjahanpur,2014,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,false,5,0,0,false,0,0,1,5,5,false,0,0,89,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,112
Uttar Pradesh,Shamli,2014,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,false,0,0,0,false,0,0,0,2,2,false,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,11
