area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Meghalaya,2001,Total Casualties under Police Firing & Lathi Charge,1,3,15,1,7
Mizoram,2001,Total Casualties under Police Firing & Lathi Charge,0,0,1,0,0
Nagaland,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Odisha,2001,Total Casualties under Police Firing & Lathi Charge,3,0,6,14,0
Puducherry,2001,Total Casualties under Police Firing & Lathi Charge,0,0,5,5,0
Punjab,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Rajasthan,2001,Total Casualties under Police Firing & Lathi Charge,48,10,28,176,1
Sikkim,2001,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Tamil Nadu,2001,Total Casualties under Police Firing & Lathi Charge,29,13,32,178,0
Tripura,2001,Total Casualties under Police Firing & Lathi Charge,0,41,28,18,23
Uttar Pradesh,2001,Total Casualties under Police Firing & Lathi Charge,23,202,231,172,23
Uttarakhand,2001,Total Casualties under Police Firing & Lathi Charge,5,1,1,5,0
West Bengal,2001,Total Casualties under Police Firing & Lathi Charge,32,22,97,219,2
Andaman & Nicobar Islands,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Andhra Pradesh,2002,Total Casualties under Police Firing & Lathi Charge,20,90,101,55,2
Arunachal Pradesh,2002,Total Casualties under Police Firing & Lathi Charge,5,0,3,2,1
Assam,2002,Total Casualties under Police Firing & Lathi Charge,43,38,52,7,3
Bihar,2002,Total Casualties under Police Firing & Lathi Charge,9,20,65,14,3
Chandigarh,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Chhattisgarh,2002,Total Casualties under Police Firing & Lathi Charge,3,1,19,21,1
Dadra & Nagar Haveli,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Daman & Diu,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Delhi,2002,Total Casualties under Police Firing & Lathi Charge,11,0,2,23,0
Goa,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Gujarat,2002,Total Casualties under Police Firing & Lathi Charge,358,218,1250,198,0
Haryana,2002,Total Casualties under Police Firing & Lathi Charge,22,6,7,43,0
Himachal Pradesh,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Jammu & Kashmir,2002,Total Casualties under Police Firing & Lathi Charge,66,20,378,74,19
Jharkhand,2002,Total Casualties under Police Firing & Lathi Charge,5,8,33,25,13
Karnataka,2002,Total Casualties under Police Firing & Lathi Charge,18,6,12,217,0
Kerala,2002,Total Casualties under Police Firing & Lathi Charge,37,0,3,126,0
Lakshadweep,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Madhya Pradesh,2002,Total Casualties under Police Firing & Lathi Charge,28,53,61,80,0
Maharashtra,2002,Total Casualties under Police Firing & Lathi Charge,43,89,107,131,2
Manipur,2002,Total Casualties under Police Firing & Lathi Charge,0,0,1,1,0
Meghalaya,2002,Total Casualties under Police Firing & Lathi Charge,0,3,13,0,0
Mizoram,2002,Total Casualties under Police Firing & Lathi Charge,1,0,1,0,0
Nagaland,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Odisha,2002,Total Casualties under Police Firing & Lathi Charge,10,1,3,11,0
Puducherry,2002,Total Casualties under Police Firing & Lathi Charge,0,0,2,0,0
