state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
CHANDIGARH,RAPE (SECTION 376 IPC),3,0,21,0,7,1,2,0,0,0,33,1,34
D & N HAVELI,RAPE (SECTION 376 IPC),0,0,4,0,1,0,0,0,0,0,5,0,5
DAMAN & DIU,RAPE (SECTION 376 IPC),0,0,8,1,0,0,1,0,0,0,9,1,10
DELHI,RAPE (SECTION 376 IPC),62,1,549,21,207,19,25,3,5,0,848,44,892
LAKSHADWEEP,RAPE (SECTION 376 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RAPE (SECTION 376 IPC),0,0,12,0,3,0,0,0,0,0,15,0,15
TOTAL (UTs),RAPE (SECTION 376 IPC),65,1,605,23,222,21,28,3,5,0,925,48,973
TOTAL (ALL-INDIA),RAPE (SECTION 376 IPC),1305,11,17431,398,8685,404,2598,128,149,8,30168,949,31117
ANDHRA PRADESH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
