state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
Chhattisgarh,KABIRDHAM,2013,1,1,0,0,0,0,1,0,0,2
Chhattisgarh,KANKER,2013,0,7,0,0,0,0,0,0,0,5
Chhattisgarh,KONDAGAON,2013,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,KORBA,2013,0,7,1,0,0,0,6,0,0,0
Chhattisgarh,KORIYA,2013,1,7,0,0,0,0,6,0,0,14
Chhattisgarh,MAHASAMUND,2013,0,1,0,0,0,0,0,0,0,2
Chhattisgarh,MUNGELI,2013,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,NARAYANPUR,2013,0,1,0,0,0,0,0,0,0,2
Chhattisgarh,RAIGARH,2013,2,9,0,0,0,0,12,0,0,9
Chhattisgarh,RAIPUR,2013,0,0,0,0,0,0,0,0,0,4
Chhattisgarh,RAJNANDGAON,2013,0,4,0,0,0,0,0,0,0,4
Chhattisgarh,SARGUJA,2013,1,6,0,0,0,0,2,0,0,13
Chhattisgarh,SUKMA,2013,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,SURAJPUR,2013,0,15,1,0,0,1,5,0,0,9
Chhattisgarh,ZZ TOTAL,2013,8,112,5,0,0,1,68,0,0,137
Goa,NORTH GOA,2013,0,0,0,0,0,0,0,1,1,4
Goa,SOUTH GOA,2013,0,0,0,0,0,0,0,0,3,1
Goa,ZZ TOTAL,2013,0,0,0,0,0,0,0,1,4,5
Gujarat,AHMEDABAD COMMR.,2013,0,2,2,0,0,0,0,0,3,1
Gujarat,AHMEDABAD RURAL,2013,0,1,0,0,0,0,1,0,0,1
Gujarat,AHWA-DANG,2013,0,1,0,0,0,0,0,0,0,1
Gujarat,AMRELI,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,ANAND,2013,1,0,5,0,0,0,1,0,3,0
Gujarat,BHARUCH,2013,2,4,1,0,0,0,5,0,16,9
Gujarat,BHAVNAGAR,2013,1,1,1,0,0,0,0,0,0,3
Gujarat,CID CRIME,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,DAHOD,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,GANDHINAGAR,2013,0,0,0,0,0,0,1,0,0,1
Gujarat,HIMATNAGAR,2013,0,0,2,0,0,0,2,0,0,2
Gujarat,JAMNAGAR,2013,0,0,0,0,0,0,1,0,0,0
Gujarat,JUNAGADH,2013,0,0,0,0,0,0,0,0,0,1
