state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
UTTARAKHAND,2002,23,46,364,461,2,65,0,122,0,0,0,0,0,1,0,47,1,1,1,2,0,10,73,184,6,54,116,549,32,177,554,1365
WEST BENGAL,2002,55,64,199,4613,21,40,0,7,0,0,0,0,8,31,0,529,9,6,2,3,16,52,47,1339,95,351,100,5958,204,544,348,12449
TOTAL (STATES),2002,2811,3696,63360,66120,884,4139,325,6634,6,11,2,89,159,416,167,13382,67,123,508,500,418,997,13815,21197,1671,8783,15115,120280,6016,18165,93292,228202
A & N ISLANDS,2002,0,0,44,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,30,1,7,49,49
CHANDIGARH,2002,0,2,207,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,92,65,0,23,34,995,1,26,336,1647
D & N HAVELI,2002,3,1,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0,4,12,3,1,38,75
DAMAN & DIU,2002,1,0,34,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,0,1,6,47,2,1,56,56
DELHI,2002,26,99,1675,4665,1,19,0,48,0,0,0,0,1,9,0,1345,1,0,0,0,3,34,454,1594,15,341,231,8973,47,502,2360,16625
LAKSHADWEEP,2002,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,0,0,0,0,0,0,9,12
PUDUCHERRY,2002,1,2,70,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,16,1,3,27,465,2,6,129,526
TOTAL (UTs),2002,31,104,2046,5364,1,19,0,48,1,0,0,4,1,9,0,1345,1,0,4,1,4,36,625,1706,17,375,302,10522,56,543,2977,18990
TOTAL (ALL-INDIA),2002,2842,3800,65406,71484,885,4158,325,6682,7,11,2,93,160,425,167,14727,68,123,512,501,422,1033,14440,22903,1688,9158,15417,130802,6072,18708,96269,247192
ANDHRA PRADESH,2003,86,254,6504,7487,34,120,20,130,1,1,0,72,8,43,2,1151,1,1,5,5,5,16,1330,2991,41,225,1189,11572,176,660,9050,23408
ARUNACHAL PRADESH,2003,19,29,139,173,2,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,53,16,19,77,126,37,60,253,370
ASSAM,2003,302,158,1548,2432,48,95,50,167,4,0,1,2,0,0,5,35,0,0,0,0,20,65,628,1257,97,205,374,1632,471,523,2606,5525
BIHAR,2003,757,336,2087,3663,163,1055,18,275,1,2,0,1,79,65,6,1344,10,10,6,6,58,95,285,882,153,900,584,3953,1221,2463,2986,10124
CHHATTISGARH,2003,56,39,2814,1116,6,19,0,47,0,0,0,0,11,9,0,297,0,1,7,6,3,4,225,175,64,259,575,2529,140,331,3621,4170
GOA,2003,2,5,126,74,0,1,0,4,0,0,0,1,0,0,0,5,0,0,2,1,0,1,95,35,3,14,34,344,5,21,257,464
GUJARAT,2003,90,233,3774,4150,62,123,5,148,0,2,2,6,10,89,0,1178,4,2,33,25,40,137,930,2356,132,681,1100,11441,338,1267,5844,19304
HARYANA,2003,9,20,1868,2163,9,48,91,171,0,0,0,0,1,2,0,149,1,6,21,2,7,34,553,479,36,171,448,2627,63,281,2981,5591
HIMACHAL PRADESH,2003,0,1,328,62,1,3,0,51,0,0,0,0,0,0,0,0,2,1,8,0,0,1,163,28,5,13,208,486,8,19,707,627
JAMMU & KASHMIR,2003,12,46,855,498,0,0,9,16,0,0,0,0,0,0,0,0,2,4,2,0,0,4,298,218,9,100,362,1217,23,154,1526,1949
JHARKHAND,2003,334,190,1269,2300,245,475,0,298,0,0,0,6,3,1,10,40,10,12,4,58,19,20,68,514,91,166,117,939,702,864,1468,4155
KARNATAKA,2003,75,173,4036,3465,29,39,0,30,0,0,0,2,7,10,0,557,1,3,33,138,15,72,1149,1348,93,564,837,8640,220,861,6055,14180
KERALA,2003,22,186,2569,1778,9,32,8,48,0,0,0,5,0,5,2,158,0,0,12,0,28,59,766,273,83,352,1052,2629,142,634,4409,4891
