area_name,year,group_name,sub_group_name,cases_acquitted_or_discharged,cases_charge_sheets_were_not_laid_but_final_report_submitted,cases_chargesheeted,cases_compounded_or_withdrawn,cases_convicted,cases_declared_false_on_account_of_mistake_of_fact_or_of_law,cases_investigated_chargesheets_fr_submitted,cases_not_investigated_or_in_which_investigation_was_refused,cases_pending_investigation_at_year_end,cases_pending_investigation_from_previous_year,cases_pending_trial_at_year_end,cases_pending_trial_from_the_previous_year,cases_reported,cases_sent_for_trial,cases_trials_completed,cases_withdrawn_by_the_govt,cases_withdrawn_by_the_govt_during_investigation,total_cases_for_trial
Uttarakhand,2006,Molestation,04. Molestation,36,5,140,0,51,11,145,0,7,10,393,340,153,140,87,0,0,480
West Bengal,2006,Molestation,04. Molestation,966,341,1529,4,119,27,1870,0,900,960,7513,7073,1837,1529,1085,0,0,8602
Andaman & Nicobar Islands,2007,Molestation,04. Molestation,2,1,20,0,1,0,21,0,5,5,132,115,21,20,3,0,0,135
Andhra Pradesh,2007,Molestation,04. Molestation,2401,217,3599,1375,654,698,3816,0,1262,1370,4745,5578,4406,3599,3055,2,0,9175
Arunachal Pradesh,2007,Molestation,04. Molestation,12,26,48,2,7,0,74,0,34,36,289,262,72,48,19,0,0,310
Assam,2007,Molestation,04. Molestation,633,171,586,54,94,116,757,0,553,637,1433,1628,789,586,727,0,0,2214
Bihar,2007,Molestation,04. Molestation,290,81,724,51,82,40,805,0,357,349,1913,1612,853,724,372,0,0,2336
Chandigarh,2007,Molestation,04. Molestation,17,0,18,0,2,5,18,0,16,7,68,69,32,18,19,0,0,87
Chhattisgarh,2007,Molestation,04. Molestation,466,17,1507,301,228,3,1524,0,74,52,7093,6581,1549,1507,694,0,0,8088
Dadra & Nagar Haveli,2007,Molestation,04. Molestation,5,2,0,0,1,0,2,0,0,2,12,18,0,0,6,0,0,18
Daman & Diu,2007,Molestation,04. Molestation,0,0,1,0,1,0,1,0,0,1,4,4,0,1,1,0,0,5
Delhi,2007,Molestation,04. Molestation,119,18,716,0,138,1,734,0,475,342,2992,2533,868,716,257,0,0,3249
Goa,2007,Molestation,04. Molestation,3,2,9,5,2,1,11,0,21,13,56,57,20,9,5,0,0,66
Gujarat,2007,Molestation,04. Molestation,369,14,804,57,27,10,818,2,58,66,6553,6202,822,804,396,0,0,7006
Haryana,2007,Molestation,04. Molestation,223,7,403,8,87,42,410,0,25,60,1566,1481,417,403,310,0,0,1884
Himachal Pradesh,2007,Molestation,04. Molestation,142,3,263,102,23,21,266,0,67,32,1033,1037,322,263,165,0,0,1300
Jammu & Kashmir,2007,Molestation,04. Molestation,364,23,973,88,30,74,996,0,88,172,3447,2956,986,973,394,0,0,3929
Jharkhand,2007,Molestation,04. Molestation,254,56,290,6,92,2,346,0,157,163,920,982,342,290,346,0,0,1272
Karnataka,2007,Molestation,04. Molestation,1191,52,1664,227,67,181,1716,4,210,284,3756,3577,1828,1664,1258,0,1,5241
Kerala,2007,Molestation,04. Molestation,1549,51,2463,435,165,151,2514,0,412,453,8200,7886,2624,2463,1714,0,0,10349
Lakshadweep,2007,Molestation,04. Molestation,0,0,1,0,0,0,1,0,1,0,2,1,2,1,0,0,0,2
Madhya Pradesh,2007,Molestation,04. Molestation,1972,54,6697,2429,1451,25,6751,0,147,151,25774,24929,6772,6697,3423,0,0,31626
Maharashtra,2007,Molestation,04. Molestation,1282,55,3079,357,176,62,3134,0,901,791,23864,22600,3306,3079,1458,0,0,25679
Manipur,2007,Molestation,04. Molestation,1,26,0,0,0,0,26,0,111,67,7,8,70,0,1,0,0,8
Meghalaya,2007,Molestation,04. Molestation,6,2,25,1,4,0,27,0,73,55,149,135,45,25,10,0,0,160
Mizoram,2007,Molestation,04. Molestation,3,6,62,0,56,0,68,0,4,6,18,15,66,62,59,0,0,77
Nagaland,2007,Molestation,04. Molestation,0,1,5,0,5,0,6,0,3,1,4,4,8,5,5,0,0,9
Odisha,2007,Molestation,04. Molestation,770,43,2439,0,102,107,2482,1,862,677,11827,10260,2775,2439,872,0,0,12699
Puducherry,2007,Molestation,04. Molestation,26,1,92,12,8,1,93,1,7,13,172,126,89,92,34,0,0,218
Punjab,2007,Molestation,04. Molestation,101,54,245,2,38,31,299,0,232,135,774,670,427,245,139,0,0,915
Rajasthan,2007,Molestation,04. Molestation,647,15,1932,436,766,516,1947,0,31,17,8081,8004,2477,1932,1413,6,0,9930
Sikkim,2007,Molestation,04. Molestation,6,0,9,3,0,0,9,0,55,51,0,0,13,9,6,0,0,9
Tamil Nadu,2007,Molestation,04. Molestation,767,23,1237,1,477,147,1260,1,284,152,2867,2875,1540,1237,1244,0,0,4112
Tripura,2007,Molestation,04. Molestation,148,18,248,0,24,0,266,0,12,34,437,361,244,248,172,0,0,609
Uttar Pradesh,2007,Molestation,04. Molestation,615,120,2244,89,1164,143,2364,0,116,101,6814,6438,2522,2244,1779,0,0,8682
Uttarakhand,2007,Molestation,04. Molestation,40,13,130,10,90,6,143,0,4,7,383,393,146,130,130,0,0,523
West Bengal,2007,Molestation,04. Molestation,611,92,1585,6,87,2,1677,0,1502,900,8394,7513,2281,1585,698,0,0,9098
Andaman & Nicobar Islands,2008,Molestation,04. Molestation,4,3,21,0,0,0,24,0,5,5,149,132,24,21,4,0,0,153
Andhra Pradesh,2008,Molestation,04. Molestation,1538,131,3713,1417,520,742,3844,1,1394,1262,4983,4745,4730,3713,2058,0,11,8458
Arunachal Pradesh,2008,Molestation,04. Molestation,6,21,64,13,13,0,85,0,21,34,321,289,72,64,19,0,0,353
Assam,2008,Molestation,04. Molestation,454,245,731,33,78,92,976,0,757,553,1599,1433,1272,731,532,0,0,2164
Bihar,2008,Molestation,04. Molestation,385,95,684,68,76,65,779,0,512,357,2068,1913,999,684,461,0,0,2597
Chandigarh,2008,Molestation,04. Molestation,15,4,23,0,1,0,27,0,8,16,75,68,19,23,16,0,0,91
Chhattisgarh,2008,Molestation,04. Molestation,449,23,1605,299,279,13,1628,3,51,74,7671,7093,1621,1605,728,0,0,8698
Dadra & Nagar Haveli,2008,Molestation,04. Molestation,0,0,4,0,0,0,4,0,0,0,16,12,4,4,0,0,0,16
Daman & Diu,2008,Molestation,04. Molestation,1,0,1,1,0,0,1,0,1,0,3,4,2,1,1,0,0,5
Delhi,2008,Molestation,04. Molestation,141,13,715,0,184,4,728,2,352,475,3382,2992,611,715,325,0,0,3707
Goa,2008,Molestation,04. Molestation,11,4,26,1,4,0,30,0,23,21,66,56,32,26,15,0,0,82
Gujarat,2008,Molestation,04. Molestation,472,16,800,88,48,3,816,1,66,58,6745,6553,828,800,520,0,0,7353
Haryana,2008,Molestation,04. Molestation,258,5,385,7,97,37,390,0,33,25,1589,1566,435,385,355,0,0,1951
Himachal Pradesh,2008,Molestation,04. Molestation,122,1,275,58,30,22,276,0,64,67,1098,1033,295,275,152,0,0,1308
Jammu & Kashmir,2008,Molestation,04. Molestation,349,4,781,95,11,44,785,0,194,88,3773,3447,935,781,360,0,0,4228
Jharkhand,2008,Molestation,04. Molestation,193,22,235,12,43,3,257,0,168,157,907,920,271,235,236,0,0,1155
Karnataka,2008,Molestation,04. Molestation,1006,79,1722,394,93,82,1801,7,273,210,3985,3756,1954,1722,1099,0,1,5478
Kerala,2008,Molestation,04. Molestation,1315,67,2441,378,184,192,2508,0,457,412,8764,8200,2745,2441,1499,0,0,10641
Lakshadweep,2008,Molestation,04. Molestation,0,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,2
Madhya Pradesh,2008,Molestation,04. Molestation,2673,30,6372,2236,1971,15,6402,0,175,147,25265,25774,6445,6372,4644,1,0,32145
Maharashtra,2008,Molestation,04. Molestation,1438,82,3340,447,180,46,3422,0,1052,901,25139,23864,3619,3340,1618,0,0,27204
Manipur,2008,Molestation,04. Molestation,0,15,0,0,0,0,15,0,153,111,7,7,57,0,0,0,0,7
Meghalaya,2008,Molestation,04. Molestation,11,7,24,2,12,0,31,0,96,73,148,149,54,24,23,0,0,173
Mizoram,2008,Molestation,04. Molestation,8,2,71,0,38,0,73,0,9,4,43,18,78,71,46,0,0,89
Nagaland,2008,Molestation,04. Molestation,1,1,10,0,3,0,11,0,7,3,10,4,15,10,4,0,0,14
Odisha,2008,Molestation,04. Molestation,1146,55,2342,0,109,122,2397,0,1125,862,12914,11827,2782,2342,1255,0,0,14169
Puducherry,2008,Molestation,04. Molestation,19,2,65,3,7,2,67,0,3,7,208,172,65,65,26,0,0,237
Punjab,2008,Molestation,04. Molestation,148,61,265,0,73,66,326,0,228,232,818,774,388,265,221,0,0,1039
Rajasthan,2008,Molestation,04. Molestation,527,7,1964,391,825,557,1971,0,23,31,8302,8081,2520,1964,1352,0,0,10045
Sikkim,2008,Molestation,04. Molestation,3,4,16,2,3,0,20,0,54,55,8,0,19,16,6,0,0,16
Tamil Nadu,2008,Molestation,04. Molestation,632,80,1363,0,338,217,1443,0,329,284,3260,2867,1705,1363,970,0,0,4230
Tripura,2008,Molestation,04. Molestation,81,35,291,6,17,3,326,0,29,12,624,437,346,291,98,0,0,728
Uttar Pradesh,2008,Molestation,04. Molestation,852,171,2599,105,1502,193,2770,0,108,116,6954,6814,2955,2599,2354,0,0,9413
Uttarakhand,2008,Molestation,04. Molestation,17,9,99,22,72,5,108,0,11,4,371,383,120,99,89,0,0,482
West Bengal,2008,Molestation,04. Molestation,601,93,1566,16,95,4,1659,0,2235,1502,9248,8394,2396,1566,696,0,0,9960
Andaman & Nicobar Islands,2009,Molestation,04. Molestation,6,2,27,0,0,0,29,0,6,5,170,149,30,27,6,0,0,176
Andhra Pradesh,2009,Molestation,04. Molestation,2024,242,4229,1368,253,841,4471,0,1229,1394,5567,4983,5147,4229,2277,0,0,9212
Arunachal Pradesh,2009,Molestation,04. Molestation,10,11,54,3,15,0,65,0,14,21,347,321,58,54,25,0,0,375
Assam,2009,Molestation,04. Molestation,441,284,767,43,111,109,1051,0,939,757,1771,1599,1342,767,552,0,0,2366
Bihar,2009,Molestation,04. Molestation,358,77,554,66,68,34,631,0,573,512,2130,2068,726,554,426,0,0,2622
Chandigarh,2009,Molestation,04. Molestation,14,1,13,0,3,5,14,0,15,8,71,75,26,13,17,0,0,88
Chhattisgarh,2009,Molestation,04. Molestation,641,11,1566,232,291,6,1577,0,66,51,7767,7671,1598,1566,932,306,0,8931
Dadra & Nagar Haveli,2009,Molestation,04. Molestation,0,0,2,0,0,0,2,0,0,0,18,16,2,2,0,0,0,18
Daman & Diu,2009,Molestation,04. Molestation,0,1,0,0,0,0,1,0,4,1,3,3,4,0,0,0,0,3
Delhi,2009,Molestation,04. Molestation,213,39,515,0,200,5,554,0,345,352,3484,3382,552,515,413,0,0,3897
Goa,2009,Molestation,04. Molestation,9,9,21,0,3,0,30,0,30,23,75,66,37,21,12,0,0,87
Gujarat,2009,Molestation,04. Molestation,438,13,707,37,39,4,720,0,69,66,6937,6745,727,707,477,1,0,7451
Haryana,2009,Molestation,04. Molestation,229,2,403,3,90,38,405,0,41,33,1670,1589,451,403,319,0,0,1992
Himachal Pradesh,2009,Molestation,04. Molestation,128,3,308,35,20,19,311,0,52,64,1223,1098,318,308,148,0,0,1406
Jammu & Kashmir,2009,Molestation,04. Molestation,436,10,940,121,82,66,950,0,150,194,4074,3773,972,940,518,0,0,4713
Jharkhand,2009,Molestation,04. Molestation,199,20,237,16,67,4,257,0,183,168,862,907,276,237,266,0,0,1144
Karnataka,2009,Molestation,04. Molestation,993,35,1855,327,71,92,1890,7,470,273,4449,3985,2186,1855,1064,0,0,5840
Kerala,2009,Molestation,04. Molestation,1277,109,2358,254,166,154,2467,0,376,457,9425,8764,2540,2358,1443,0,0,11122
Lakshadweep,2009,Molestation,04. Molestation,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2
Madhya Pradesh,2009,Molestation,04. Molestation,2663,41,6331,2713,1566,11,6372,0,99,175,24654,25265,6307,6331,4229,0,0,31596
Maharashtra,2009,Molestation,04. Molestation,1557,62,3114,437,157,30,3176,0,1042,1052,26102,25139,3196,3114,1714,0,0,28253
Manipur,2009,Molestation,04. Molestation,0,14,2,0,0,0,16,0,176,153,9,7,39,2,0,0,0,9
Meghalaya,2009,Molestation,04. Molestation,13,26,45,0,3,0,71,0,97,96,177,148,72,45,16,0,0,193
Mizoram,2009,Molestation,04. Molestation,8,0,68,0,47,0,68,0,2,9,56,43,61,68,55,0,0,111
Nagaland,2009,Molestation,04. Molestation,1,1,11,0,8,0,12,0,6,7,12,10,11,11,9,0,0,21
Odisha,2009,Molestation,04. Molestation,805,37,2436,0,78,118,2473,1,1230,1125,14467,12914,2697,2436,883,0,0,15350
Puducherry,2009,Molestation,04. Molestation,18,0,52,6,4,2,52,1,1,3,232,208,53,52,22,0,0,260
Punjab,2009,Molestation,04. Molestation,157,47,219,0,79,34,266,0,247,228,801,818,319,219,236,0,0,1037
Rajasthan,2009,Molestation,04. Molestation,452,25,1893,368,633,574,1918,0,16,23,8742,8302,2485,1893,1085,0,0,10195
Sikkim,2009,Molestation,04. Molestation,2,25,32,13,6,0,57,0,7,54,19,8,10,32,8,0,0,40
Tamil Nadu,2009,Molestation,04. Molestation,691,47,1104,0,393,142,1151,0,278,329,3280,3260,1242,1104,1084,0,0,4364
Tripura,2009,Molestation,04. Molestation,142,34,354,11,16,0,388,0,25,29,809,624,384,354,158,0,0,978
Uttar Pradesh,2009,Molestation,04. Molestation,655,138,2525,51,1568,156,2663,0,71,108,7205,6954,2782,2525,2223,0,0,9479
Uttarakhand,2009,Molestation,04. Molestation,25,14,108,3,90,2,122,0,6,11,361,371,119,108,115,0,0,479
West Bengal,2009,Molestation,04. Molestation,573,122,1740,15,85,5,1862,1,2309,2235,10315,9248,1942,1740,658,0,0,10988
Andaman & Nicobar Islands,2010,Molestation,04. Molestation,3,3,24,0,0,0,27,0,10,6,191,170,31,24,3,0,0,194
Andhra Pradesh,2010,Molestation,04. Molestation,1925,53,3868,698,496,763,3921,5,1174,1229,6314,5567,4634,3868,2421,2,0,9433
Arunachal Pradesh,2010,Molestation,04. Molestation,4,9,54,1,4,0,63,0,35,14,392,347,84,54,8,0,0,401
Assam,2010,Molestation,04. Molestation,376,302,892,26,73,57,1194,11,1077,939,2188,1771,1400,892,449,0,0,2663
Bihar,2010,Molestation,04. Molestation,334,34,482,43,73,22,516,0,569,573,2162,2130,534,482,407,0,0,2612
Chandigarh,2010,Molestation,04. Molestation,24,2,24,0,7,4,26,0,14,15,64,71,29,24,31,0,0,95
Chhattisgarh,2010,Molestation,04. Molestation,974,20,1650,251,409,4,1670,0,98,66,7783,7767,1706,1650,1383,0,0,9417
Dadra & Nagar Haveli,2010,Molestation,04. Molestation,0,0,5,0,1,0,5,0,6,0,22,18,11,5,1,0,0,23
Daman & Diu,2010,Molestation,04. Molestation,1,0,3,1,0,0,3,0,3,4,4,3,2,3,1,0,0,6
Delhi,2010,Molestation,04. Molestation,246,12,572,0,169,3,584,0,359,345,3641,3484,601,572,415,0,0,4056
Goa,2010,Molestation,04. Molestation,21,7,32,0,4,2,39,0,25,30,82,75,36,32,25,0,0,107
Gujarat,2010,Molestation,04. Molestation,420,15,659,28,22,1,674,0,62,69,7126,6937,668,659,442,0,0,7596
Haryana,2010,Molestation,04. Molestation,270,9,415,0,117,54,424,0,39,41,1698,1670,476,415,387,0,0,2085
Himachal Pradesh,2010,Molestation,04. Molestation,104,2,334,41,17,22,336,0,44,52,1395,1223,350,334,121,0,0,1557
Jammu & Kashmir,2010,Molestation,04. Molestation,344,9,889,123,29,57,898,0,233,150,4467,4074,1038,889,373,0,0,4963
Jharkhand,2010,Molestation,04. Molestation,268,28,221,6,49,9,249,0,170,183,760,862,245,221,317,0,0,1083
Karnataka,2010,Molestation,04. Molestation,1154,75,2169,165,52,146,2244,5,619,470,5243,4449,2544,2169,1206,4,0,6614
Kerala,2010,Molestation,04. Molestation,1213,36,2682,207,168,148,2718,0,446,376,10519,9425,2936,2682,1381,0,0,12107
Lakshadweep,2010,Molestation,04. Molestation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Madhya Pradesh,2010,Molestation,04. Molestation,2981,30,6609,2705,1749,13,6639,0,93,99,23827,24654,6646,6609,4730,1,0,31262
Maharashtra,2010,Molestation,04. Molestation,1755,59,3311,372,162,49,3370,0,1284,1042,27124,26102,3661,3311,1917,0,0,29413
Manipur,2010,Molestation,04. Molestation,0,13,0,0,0,0,13,0,194,176,9,9,31,0,0,0,0,9
Meghalaya,2010,Molestation,04. Molestation,9,4,33,4,3,0,37,0,108,97,194,177,48,33,12,0,0,210
Mizoram,2010,Molestation,04. Molestation,7,0,73,0,71,0,73,0,4,2,51,56,75,73,78,0,0,129
Nagaland,2010,Molestation,04. Molestation,1,3,12,0,9,0,15,0,4,6,14,12,13,12,10,0,0,24
Odisha,2010,Molestation,04. Molestation,1242,49,2719,0,98,173,2768,6,1188,1230,15846,14467,2905,2719,1340,0,0,17186
Puducherry,2010,Molestation,04. Molestation,24,0,43,11,7,4,43,0,0,1,233,232,46,43,31,0,0,275
Punjab,2010,Molestation,04. Molestation,132,84,235,2,77,61,319,0,197,228,694,670,349,235,209,0,0,905
Rajasthan,2010,Molestation,04. Molestation,523,17,1727,298,550,587,1744,0,24,16,9098,8742,2339,1727,1073,0,0,10469
Sikkim,2010,Molestation,04. Molestation,4,2,13,2,3,0,15,0,3,7,23,19,11,13,7,0,0,32
Tamil Nadu,2010,Molestation,04. Molestation,582,76,987,1,508,174,1063,0,446,278,3176,3280,1405,987,1090,0,0,4267
Tripura,2010,Molestation,04. Molestation,151,34,308,23,22,6,342,0,53,25,921,809,376,308,173,0,0,1117
Uttar Pradesh,2010,Molestation,04. Molestation,734,119,2513,51,1818,133,2632,0,99,71,7115,7205,2793,2513,2552,0,0,9718
Uttarakhand,2010,Molestation,04. Molestation,11,7,116,2,51,4,123,0,4,6,413,361,125,116,62,0,0,477
West Bengal,2010,Molestation,04. Molestation,491,100,1915,17,81,4,2015,0,2755,2309,11641,10315,2465,1915,572,0,0,12230
Andaman & Nicobar Islands,2001,Sexual harassment,05. Sexual Harassment,0,0,1,0,0,0,1,0,0,0,5,4,1,1,0,0,0,5
Andhra Pradesh,2001,Sexual harassment,05. Sexual Harassment,412,14,2011,200,1120,88,2025,6,503,351,1540,1266,2271,2011,1532,5,0,3272
Arunachal Pradesh,2001,Sexual harassment,05. Sexual Harassment,0,0,3,0,1,0,3,0,0,0,5,3,3,3,1,0,0,6
Assam,2001,Sexual harassment,05. Sexual Harassment,4,2,3,0,2,0,5,0,22,23,38,41,4,3,6,0,0,44
Bihar,2001,Sexual harassment,05. Sexual Harassment,17,4,17,2,8,0,21,0,14,14,71,81,21,17,25,0,0,98
Chandigarh,2001,Sexual harassment,05. Sexual Harassment,3,1,13,0,5,0,14,0,3,2,22,17,15,13,8,0,0,30
Chhattisgarh,2001,Sexual harassment,05. Sexual Harassment,55,3,166,46,87,0,169,0,0,8,778,800,161,166,142,0,0,966
Dadra & Nagar Haveli,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Daman & Diu,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Sexual harassment,05. Sexual Harassment,41,14,95,0,35,0,109,0,41,60,249,230,90,95,76,0,0,325
Goa,2001,Sexual harassment,05. Sexual Harassment,9,2,6,1,1,0,8,0,3,4,20,25,7,6,10,0,0,31
Gujarat,2001,Sexual harassment,05. Sexual Harassment,44,5,103,3,6,2,108,0,1,0,571,521,111,103,50,0,0,624
Haryana,2001,Sexual harassment,05. Sexual Harassment,60,3,388,0,379,2,391,0,12,4,537,588,401,388,439,0,0,976
Himachal Pradesh,2001,Sexual harassment,05. Sexual Harassment,7,0,15,7,2,2,15,0,1,4,76,77,14,15,9,0,0,92
Jammu & Kashmir,2001,Sexual harassment,05. Sexual Harassment,167,5,293,16,70,3,298,0,38,51,622,582,288,293,237,0,0,875
Jharkhand,2001,Sexual harassment,05. Sexual Harassment,9,0,6,0,4,0,6,0,8,9,47,54,5,6,13,0,0,60
Karnataka,2001,Sexual harassment,05. Sexual Harassment,19,1,60,4,11,21,61,22,7,30,159,133,81,60,30,0,0,193
Kerala,2001,Sexual harassment,05. Sexual Harassment,47,2,76,7,6,2,78,0,9,8,176,160,81,76,53,0,0,236
Lakshadweep,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Sexual harassment,05. Sexual Harassment,207,57,649,23,204,0,706,0,37,23,1398,1219,751,649,411,36,31,1832
Maharashtra,2001,Sexual harassment,05. Sexual Harassment,372,19,1092,171,26,3,1111,0,159,153,5666,5143,1120,1092,398,0,0,6235
Manipur,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Sexual harassment,05. Sexual Harassment,0,1,0,0,0,0,1,0,13,14,3,3,0,0,0,0,0,3
Mizoram,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Sexual harassment,05. Sexual Harassment,136,23,434,0,57,0,457,0,45,44,593,352,458,434,193,0,0,786
Puducherry,2001,Sexual harassment,05. Sexual Harassment,4,1,27,7,16,0,28,0,0,1,21,21,27,27,20,0,0,48
Punjab,2001,Sexual harassment,05. Sexual Harassment,2,6,33,1,1,7,39,1,15,15,46,17,47,33,3,0,0,50
Rajasthan,2001,Sexual harassment,05. Sexual Harassment,12,1,51,12,35,5,52,0,0,1,182,190,56,51,47,0,0,241
Sikkim,2001,Sexual harassment,05. Sexual Harassment,1,6,7,0,1,0,13,0,1,0,18,13,14,7,2,0,0,20
Tamil Nadu,2001,Sexual harassment,05. Sexual Harassment,126,3,1055,0,989,2,1058,7,16,71,501,561,1012,1055,1115,0,0,1616
Tripura,2001,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Sexual harassment,05. Sexual Harassment,511,25,2593,59,1601,10,2618,0,66,119,4352,3930,2575,2593,2112,0,0,6523
Uttarakhand,2001,Sexual harassment,05. Sexual Harassment,24,5,86,1,48,0,91,0,2,9,153,140,84,86,72,0,0,226
West Bengal,2001,Sexual harassment,05. Sexual Harassment,30,10,33,0,1,0,43,0,25,20,42,40,48,33,31,0,0,73
Andaman & Nicobar Islands,2002,Sexual harassment,05. Sexual Harassment,0,0,3,0,0,0,3,0,0,0,8,5,3,3,0,0,0,8
Andhra Pradesh,2002,Sexual harassment,05. Sexual Harassment,408,12,2165,192,1159,122,2177,2,226,503,1938,1540,2024,2165,1567,8,0,3697
Arunachal Pradesh,2002,Sexual harassment,05. Sexual Harassment,0,0,2,0,0,0,2,0,0,0,7,5,2,2,0,0,0,7
Assam,2002,Sexual harassment,05. Sexual Harassment,6,6,5,0,0,0,11,0,18,22,37,38,7,5,6,0,0,43
Bihar,2002,Sexual harassment,05. Sexual Harassment,16,0,11,0,4,0,11,0,9,14,62,71,6,11,20,0,0,82
Chandigarh,2002,Sexual harassment,05. Sexual Harassment,5,2,27,0,13,0,29,0,2,3,31,22,28,27,18,0,0,49
Chhattisgarh,2002,Sexual harassment,05. Sexual Harassment,151,0,147,89,157,0,147,0,0,0,530,780,147,147,308,0,0,927
Dadra & Nagar Haveli,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Daman & Diu,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Delhi,2002,Sexual harassment,05. Sexual Harassment,18,3,110,0,34,0,113,0,56,41,307,249,128,110,52,0,0,359
Goa,2002,Sexual harassment,05. Sexual Harassment,5,0,7,2,0,0,7,0,2,3,20,20,6,7,5,0,0,27
Gujarat,2002,Sexual harassment,05. Sexual Harassment,51,4,96,1,6,2,100,0,3,1,609,571,104,96,57,0,0,667
Haryana,2002,Sexual harassment,05. Sexual Harassment,143,2,1417,19,1196,4,1419,0,13,12,596,537,1424,1417,1339,0,0,1954
Himachal Pradesh,2002,Sexual harassment,05. Sexual Harassment,4,0,9,5,0,1,9,0,3,1,76,76,12,9,4,0,0,85
Jammu & Kashmir,2002,Sexual harassment,05. Sexual Harassment,199,2,345,6,113,9,347,0,50,38,649,622,368,345,312,0,0,967
Jharkhand,2002,Sexual harassment,05. Sexual Harassment,12,0,3,0,3,0,3,0,6,6,39,51,3,3,15,0,0,54
Karnataka,2002,Sexual harassment,05. Sexual Harassment,20,12,52,12,2,23,64,0,20,7,177,159,100,52,22,0,0,211
Kerala,2002,Sexual harassment,05. Sexual Harassment,30,3,98,7,14,3,101,0,7,9,223,176,102,98,44,0,0,274
Lakshadweep,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Sexual harassment,05. Sexual Harassment,212,7,777,238,171,2,784,0,34,37,1554,1398,783,777,383,0,0,2175
Maharashtra,2002,Sexual harassment,05. Sexual Harassment,430,8,753,143,39,5,761,0,162,159,5807,5666,769,753,469,0,0,6419
Manipur,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,13,13,3,3,0,0,0,0,0,3
Mizoram,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Sexual harassment,05. Sexual Harassment,93,6,182,2,15,2,188,0,43,45,665,593,188,182,108,0,0,775
Puducherry,2002,Sexual harassment,05. Sexual Harassment,0,0,25,5,15,0,25,0,1,0,26,21,26,25,15,0,0,46
Punjab,2002,Sexual harassment,05. Sexual Harassment,21,13,126,0,75,6,139,1,14,15,76,46,145,126,96,0,0,172
Rajasthan,2002,Sexual harassment,05. Sexual Harassment,18,0,37,22,34,7,37,0,0,0,145,182,44,37,52,0,0,219
Sikkim,2002,Sexual harassment,05. Sexual Harassment,2,0,1,6,6,0,1,0,0,1,5,18,0,1,8,0,0,19
Tamil Nadu,2002,Sexual harassment,05. Sexual Harassment,136,0,1686,0,1488,10,1686,0,38,16,563,501,1718,1686,1624,0,0,2187
Tripura,2002,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Sexual harassment,05. Sexual Harassment,745,15,1924,44,1431,10,1939,0,4,66,4056,4352,1887,1924,2176,0,0,6276
Uttarakhand,2002,Sexual harassment,05. Sexual Harassment,16,0,99,0,50,0,99,0,0,2,186,153,97,99,66,0,0,252
West Bengal,2002,Sexual harassment,05. Sexual Harassment,42,4,31,0,2,0,35,0,24,25,29,42,34,31,44,0,0,73
Andaman & Nicobar Islands,2003,Sexual harassment,05. Sexual Harassment,0,0,2,0,0,0,2,0,0,0,10,8,2,2,0,0,0,10
Andhra Pradesh,2003,Sexual harassment,05. Sexual Harassment,794,18,2049,233,1357,124,2067,19,302,226,1603,1938,2286,2049,2151,0,0,3987
Arunachal Pradesh,2003,Sexual harassment,05. Sexual Harassment,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,7
