state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Meghalaya,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Total (State),"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
