state_ut,district,year,murder,rape,kidnapping_and_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_scs
Chhattisgarh,DHAMTARI,2013,0,0,0,0,0,0,0,0,0,2
Chhattisgarh,DURG,2013,0,3,0,0,0,0,1,0,0,4
Chhattisgarh,GARIYABAND,2013,1,2,0,0,0,0,0,0,0,3
Chhattisgarh,GRP RAIPUR,2013,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,JAGDALPUR,2013,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,JANJGIR,2013,1,7,1,0,0,0,27,0,0,25
Chhattisgarh,JASHPUR,2013,0,0,0,0,0,0,1,0,0,2
Chhattisgarh,KABIRDHAM,2013,0,1,1,0,0,0,2,0,0,4
Chhattisgarh,KANKER,2013,0,3,0,0,0,0,0,0,0,2
Chhattisgarh,KONDAGAON,2013,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,KORBA,2013,1,6,0,0,0,0,3,0,0,11
Chhattisgarh,KORIYA,2013,1,5,0,0,0,0,4,0,0,4
Chhattisgarh,MAHASAMUND,2013,0,2,0,0,0,0,0,0,0,5
Chhattisgarh,MUNGELI,2013,0,2,1,0,0,0,0,0,0,2
Chhattisgarh,NARAYANPUR,2013,0,0,0,0,0,0,0,0,0,1
Chhattisgarh,RAIGARH,2013,0,4,2,0,0,0,1,0,0,10
Chhattisgarh,RAIPUR,2013,0,3,0,0,1,0,0,0,0,3
Chhattisgarh,RAJNANDGAON,2013,0,2,0,0,0,0,0,0,1,5
Chhattisgarh,SARGUJA,2013,0,2,0,0,0,0,0,0,0,0
Chhattisgarh,SUKMA,2013,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,SURAJPUR,2013,0,3,1,0,0,0,2,0,0,4
Chhattisgarh,TOTAL,2013,6,55,7,0,1,1,49,0,2,121
Goa,NORTH GOA,2013,0,0,0,0,0,0,0,1,2,8
Goa,SOUTH GOA,2013,0,0,0,0,0,0,0,0,1,0
Goa,TOTAL,2013,0,0,0,0,0,0,0,1,3,8
Gujarat,AHMEDABAD COMMR.,2013,3,11,14,2,2,0,11,0,23,22
Gujarat,AHMEDABAD RURAL,2013,1,2,1,1,0,0,29,0,43,30
Gujarat,AHWA-DANG,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,AMRELI,2013,1,1,0,0,0,0,3,0,2,19
Gujarat,ANAND,2013,1,1,2,0,0,3,3,0,21,18
Gujarat,BHARUCH,2013,0,0,1,0,0,0,1,0,11,2
Gujarat,BHAVNAGAR,2013,0,3,4,1,3,1,8,0,15,51
Gujarat,CID CRIME,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,DAHOD,2013,0,1,0,0,0,0,0,0,2,0
Gujarat,GANDHINAGAR,2013,0,4,4,0,1,0,22,0,0,8
Gujarat,HIMATNAGAR,2013,0,2,1,0,0,1,2,0,0,20
Gujarat,JAMNAGAR,2013,1,5,1,1,0,0,12,0,4,17
Gujarat,JUNAGADH,2013,3,3,0,0,2,1,15,0,8,74
Gujarat,KHEDA NORTH,2013,1,1,2,0,0,1,3,0,14,10
Gujarat,KUTCH (EAST(G)),2013,5,6,3,1,0,0,6,0,3,43
Gujarat,KUTCH (WEST-BHUJ),2013,0,2,0,0,1,0,5,0,2,18
Gujarat,MEHSANA,2013,2,7,1,2,0,1,46,0,0,10
Gujarat,NARMADA,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,NAVSARI,2013,0,0,0,0,0,0,0,0,0,8
Gujarat,PALANPUR,2013,1,3,1,0,1,1,23,0,25,3
Gujarat,PANCHMAHAL,2013,4,2,0,0,1,0,17,0,7,0
Gujarat,PATAN,2013,0,3,0,0,1,1,8,0,0,61
Gujarat,PORBANDAR,2013,1,0,0,0,0,0,1,0,4,5
Gujarat,RAJKOT COMMR.,2013,1,4,0,0,1,0,2,0,0,10
Gujarat,RAJKOT RURAL,2013,2,7,0,0,1,0,37,0,0,17
Gujarat,SURAT COMMR.,2013,0,1,0,0,0,0,1,0,12,3
Gujarat,SURAT RURAL,2013,1,1,0,0,0,0,2,0,1,0
Gujarat,SURENDRANAGAR,2013,1,4,2,1,2,0,10,0,5,48
Gujarat,TAPI,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,VADODARA COMMR.,2013,0,1,1,0,0,0,3,0,3,23
Gujarat,VADODARA RURAL,2013,0,0,0,0,0,0,3,0,6,6
Gujarat,VALSAD,2013,0,0,0,0,0,0,0,0,0,2
Gujarat,W.RLY AHMEDABAD,2013,0,0,0,0,0,0,0,0,1,0
Gujarat,W.RLY VADODARA,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,TOTAL,2013,29,75,38,9,16,10,273,0,212,528
Haryana,AMBALA RURAL,2013,0,0,0,0,0,0,0,0,0,5
Haryana,AMBALA URBAN,2013,1,10,1,0,0,0,0,0,1,8
Haryana,BHIWANI,2013,3,14,4,0,0,0,1,0,1,21
Haryana,FARIDABAD,2013,0,5,3,0,0,0,0,0,1,22
Haryana,FATEHABAD,2013,0,5,1,0,0,0,0,0,0,10
Haryana,GRP,2013,0,0,2,0,0,0,0,0,0,1
Haryana,GURGAON,2013,1,7,1,0,0,0,0,0,1,17
