area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Haryana,2006,214.0000,307.0000,521.0000,355.0000,0.0000,0.0000,2.0000,200.0000,25.0000,101.0000,0.0000,0.0000,11.0000,325.0000,118.0000,803595.0000,0.0000,532.0000,200.0000,732.0000,4.0000,98.0000,26.0000,72.0000,630.0000,0.0000,152700.0000
Karnataka,2007,276.0000,307.0000,583.0000,439.0000,25.0000,1.0000,36.0000,206.0000,121.0000,105.0000,1.0000,38.0000,67.0000,330.0000,143.0000,18445043.0000,0.0000,202.0000,206.0000,408.0000,8.0000,151.0000,30.0000,121.0000,249.0000,0.0000,183500.0000
Odisha,2008,389.0000,303.0000,692.0000,692.0000,0.0000,0.0000,7.0000,210.0000,114.0000,72.0000,36.0000,22.0000,28.0000,536.0000,47.0000,98482855.0000,30.0000,2481.0000,210.0000,2691.0000,17.0000,133.0000,54.0000,79.0000,2541.0000,41.0000,3311800.0000
Odisha,2003,322.0000,302.0000,624.0000,624.0000,0.0000,0.0000,3.0000,280.0000,60.0000,97.0000,74.0000,0.0000,63.0000,298.0000,144.0000,96480401.0000,1818.0000,280.0000,2098.0000,2098.0000,13.0000,64.0000,14.0000,50.0000,2021.0000,0.0000,25750.0000
Rajasthan,2004,1210.0000,294.0000,1504.0000,1504.0000,0.0000,0.0000,0.0000,234.0000,299.0000,0.0000,61.0000,0.0000,119.0000,1051.0000,213.0000,621290.0000,0.0000,922.0000,256.0000,1178.0000,0.0000,147.0000,46.0000,101.0000,1031.0000,0.0000,825000.0000
Odisha,2001,330.0000,293.0000,623.0000,623.0000,0.0000,0.0000,1.0000,161.0000,29.0000,120.0000,157.0000,4.0000,155.0000,317.0000,121.0000,10909932.0000,0.0000,1620.0000,161.0000,1781.0000,7.0000,43.0000,9.0000,34.0000,1731.0000,0.0000,2630830.0000
Odisha,2005,410.0000,291.0000,701.0000,701.0000,0.0000,1.0000,0.0000,182.0000,48.0000,91.0000,69.0000,6.0000,53.0000,342.0000,114.0000,14469388.0000,0.0000,2152.0000,182.0000,2334.0000,4.0000,67.0000,19.0000,48.0000,2263.0000,0.0000,20000.0000
Karnataka,2006,196.0000,288.0000,484.0000,484.0000,0.0000,0.0000,50.0000,158.0000,121.0000,145.0000,145.0000,1.0000,50.0000,276.0000,197.0000,17693027.0000,0.0000,578.0000,158.0000,736.0000,2.0000,224.0000,22.0000,202.0000,510.0000,0.0000,204400.0000
Odisha,2006,342.0000,288.0000,630.0000,630.0000,0.0000,5.0000,9.0000,183.0000,63.0000,91.0000,85.0000,7.0000,49.0000,384.0000,70.0000,11551999.0000,0.0000,2263.0000,183.0000,2446.0000,2.0000,104.0000,40.0000,64.0000,2340.0000,0.0000,265500.0000
Odisha,2007,384.0000,286.0000,670.0000,670.0000,0.0000,0.0000,0.0000,253.0000,62.0000,152.0000,86.0000,6.0000,28.0000,389.0000,58.0000,72106819.0000,0.0000,2340.0000,253.0000,2593.0000,17.0000,95.0000,37.0000,58.0000,2481.0000,0.0000,297700.0000
Odisha,2002,317.0000,283.0000,600.0000,600.0000,0.0000,0.0000,5.0000,172.0000,48.0000,87.0000,99.0000,0.0000,120.0000,322.0000,98.0000,11788835.0000,0.0000,1731.0000,172.0000,1903.0000,8.0000,77.0000,7.0000,70.0000,1818.0000,0.0000,1901.0000
Punjab,2002,341.0000,282.0000,623.0000,226.0000,46.0000,1.0000,0.0000,180.0000,103.0000,1.0000,0.0000,0.0000,0.0000,348.0000,0.0000,0.0000,0.0000,874.0000,180.0000,0.0000,9.0000,165.0000,80.0000,85.0000,0.0000,0.0000,213000.0000
Punjab,2003,341.0000,282.0000,623.0000,226.0000,46.0000,1.0000,0.0000,180.0000,103.0000,1.0000,0.0000,0.0000,0.0000,348.0000,0.0000,0.0000,0.0000,874.0000,180.0000,0.0000,9.0000,165.0000,80.0000,85.0000,0.0000,0.0000,213000.0000
Odisha,2004,298.0000,272.0000,570.0000,570.0000,2.0000,1.0000,4.0000,192.0000,33.0000,107.0000,71.0000,2.0000,49.0000,410.0000,86.0000,94799369.0000,0.0000,2021.0000,192.0000,2213.0000,5.0000,56.0000,12.0000,44.0000,2152.0000,0.0000,20000.0000
Andhra Pradesh,2010,293.0000,272.0000,565.0000,261.0000,1.0000,1.0000,0.0000,211.0000,19.0000,184.0000,10.0000,0.0000,19.0000,305.0000,259.0000,83948386.0000,0.0000,1022.0000,211.0000,1233.0000,11.0000,141.0000,90.0000,51.0000,1081.0000,0.0000,324700.0000
Madhya Pradesh,2002,234.0000,271.0000,505.0000,505.0000,0.0000,0.0000,0.0000,197.0000,185.0000,0.0000,2.0000,0.0000,39.0000,270.0000,37.0000,19589932.0000,0.0000,567.0000,196.0000,763.0000,6.0000,129.0000,65.0000,58.0000,634.0000,0.0000,1925492.0000
Haryana,2002,102.0000,268.0000,370.0000,199.0000,0.0000,0.0000,8.0000,99.0000,23.0000,64.0000,0.0000,0.0000,14.0000,262.0000,32.0000,67700.0000,0.0000,343.0000,99.0000,442.0000,2.0000,58.0000,8.0000,50.0000,382.0000,0.0000,78000.0000
Andhra Pradesh,2005,279.0000,251.0000,530.0000,300.0000,2.0000,0.0000,0.0000,232.0000,43.0000,78.0000,9.0000,0.0000,69.0000,232.0000,184.0000,20861842.0000,0.0000,1023.0000,232.0000,1255.0000,8.0000,148.0000,84.0000,64.0000,1099.0000,0.0000,965767.0000
Andhra Pradesh,2007,116.0000,244.0000,360.0000,161.0000,1.0000,0.0000,0.0000,205.0000,22.0000,61.0000,6.0000,0.0000,28.0000,193.0000,244.0000,63301660.0000,0.0000,1060.0000,205.0000,1265.0000,0.0000,253.0000,156.0000,97.0000,1012.0000,0.0000,288100.0000
