area_name,year,group_name,sub_group_name,ph_houses_provided_by_department,ph_houses_provided_on_leaserentgpra,ph_sanctioned_strength
Odisha,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),7550
Puducherry,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),730
Punjab,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5782
Rajasthan,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13335
Sikkim,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),203
Tamil Nadu,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),28594
Tripura,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1236
Uttar Pradesh,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),42247
Uttarakhand,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2239
West Bengal,2001,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4306
Andaman & Nicobar Islands,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),629
Andhra Pradesh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),34547
Arunachal Pradesh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2051
Assam,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8180
Bihar,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3642
Chandigarh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1626
Chhattisgarh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3007
Dadra & Nagar Haveli,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),0
Daman & Diu,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),118
Delhi,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8466
Goa,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1543
Gujarat,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),28797
Haryana,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4209
Himachal Pradesh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5573
Jammu & Kashmir,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3292
Jharkhand,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1150
Karnataka,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),22925
Kerala,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5830
Lakshadweep,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),172
Madhya Pradesh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),18314
Maharashtra,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),0
Manipur,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),143
Meghalaya,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2063
Mizoram,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),945
Nagaland,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),617
Odisha,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),7550
Puducherry,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),682
Punjab,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),10604
Rajasthan,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13335
Sikkim,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),394
Tamil Nadu,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),31195
Tripura,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1756
Uttar Pradesh,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),42247
Uttarakhand,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1914
West Bengal,2002,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),14645
Andaman & Nicobar Islands,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),629
Andhra Pradesh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),37588
Arunachal Pradesh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2076
Assam,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8180
Bihar,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3561
Chandigarh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1486
Chhattisgarh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4198
Dadra & Nagar Haveli,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),
Daman & Diu,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),148
Delhi,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5064
Goa,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1212
Gujarat,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),31870
Haryana,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4305
Himachal Pradesh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2066
Jammu & Kashmir,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3292
Jharkhand,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),716
Karnataka,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),24841
Kerala,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),6408
Lakshadweep,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),179
Madhya Pradesh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),18314
Maharashtra,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),70703
Manipur,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),152
Meghalaya,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2063
Mizoram,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1162
Nagaland,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),288
Odisha,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),7550
Puducherry,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),748
Punjab,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),11012
Rajasthan,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13335
Sikkim,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),394
Tamil Nadu,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),35862
Tripura,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1800
Uttar Pradesh,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),42247
Uttarakhand,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2228
West Bengal,2003,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),14261
Andaman & Nicobar Islands,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),629
Andhra Pradesh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),35456
Arunachal Pradesh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2176
Assam,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),6990
Bihar,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3561
Chandigarh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1639
Chhattisgarh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4554
Dadra & Nagar Haveli,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),
Daman & Diu,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),144
Delhi,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5064
Goa,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1693
Gujarat,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),31815
Haryana,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4341
Himachal Pradesh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2066
Jammu & Kashmir,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),
Jharkhand,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),716
Karnataka,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),25673
Kerala,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),6408
Lakshadweep,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),179
Madhya Pradesh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),17035
Maharashtra,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),70841
Manipur,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),188
Meghalaya,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2063
Mizoram,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1162
Nagaland,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),493
Odisha,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8127
Puducherry,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),748
Punjab,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),11012
Rajasthan,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13531
Sikkim,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),394
Tamil Nadu,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),35892
Tripura,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1800
Uttar Pradesh,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),42247
Uttarakhand,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3506
West Bengal,2004,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),14261
Andaman & Nicobar Islands,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),629
Andhra Pradesh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),73332
Arunachal Pradesh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2176
Assam,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),64
Bihar,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4146
Chandigarh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1637
Chhattisgarh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5589
Dadra & Nagar Haveli,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),
Daman & Diu,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),114
Delhi,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5133
Goa,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),970
Gujarat,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),31644
Haryana,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),9573
Himachal Pradesh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2327
Jammu & Kashmir,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3292
Jharkhand,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),443
Karnataka,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),26527
Kerala,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),6763
Lakshadweep,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),179
Madhya Pradesh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),17035
Maharashtra,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),70841
Manipur,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),249
Meghalaya,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2113
Mizoram,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1012
Nagaland,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1461
Odisha,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8127
Puducherry,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),748
Punjab,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),11012
Rajasthan,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13691
Sikkim,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),394
Tamil Nadu,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),38148
Tripura,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1938
Uttar Pradesh,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),43247
Uttarakhand,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3720
West Bengal,2005,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),9484
Andaman & Nicobar Islands,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),923
Andhra Pradesh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),37410
Arunachal Pradesh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2382
Assam,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),71
Bihar,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3997
Chandigarh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1792
Chhattisgarh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),4940
Dadra & Nagar Haveli,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),0
Daman & Diu,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),69
Delhi,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),5228
Goa,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),991
Gujarat,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),28736
Haryana,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),8418
Himachal Pradesh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2327
Jammu & Kashmir,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3292
Jharkhand,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1627
Karnataka,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),27071
Kerala,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),6344
Lakshadweep,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),179
Madhya Pradesh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),18419
Maharashtra,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),78705
Manipur,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),105
Meghalaya,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2159
Mizoram,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),985
Nagaland,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),2722
Odisha,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),7855
Puducherry,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),769
Punjab,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),11102
Rajasthan,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),13749
Sikkim,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),394
Tamil Nadu,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),39000
Tripura,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),1938
Uttar Pradesh,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),43247
Uttarakhand,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),3720
West Bengal,2006,PH_Lower Subordinates (Constables,Head Constables etc.),3. Lower SubOrdinates (Constables,Head Constables & Class-IV Subordinate Staff),9847
