area_name,year,group_name,sub_group_name,cd_deaths_reported,cd_no_of_autopsy_conducted,cd_no_of_cases_registered_in_connection_with_deaths,cd_no_of_judicial_enquiry_orderedconducted,cd_no_of_magisterial_enquiry_orderedconducted,cd_no_of_policemen_charge_sheeted,cd_no_of_policemen_convicted
Meghalaya,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Mizoram,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Nagaland,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Rajasthan,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,2,,2,,
Tamil Nadu,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,,2,,2,,
Uttar Pradesh,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Uttarakhand,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,,0,1,,
West Bengal,2006,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,4,4,0,0,4,0,0
Andhra Pradesh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,18,18,18,0,6,2,0
Arunachal Pradesh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Assam,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,3,0,3,0,0
Bihar,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chandigarh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,1,1,0,1,0
Gujarat,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,1,1,1,2,0,0
Haryana,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,3,0,3,4,0
Karnataka,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Kerala,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Madhya Pradesh,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,0,3,0,3,0,0
Maharashtra,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,18,18,0,0,0,0,0
Manipur,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Meghalaya,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,1,1,0,2,0,0
Mizoram,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,1,0,1,0,0
Nagaland,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Sikkim,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,,,1,,
Tamil Nadu,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,1,2,,2,,
Tripura,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
West Bengal,2007,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,0,0,2,0,0
Andhra Pradesh,2008,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,10,10,10,0,10,0,0
Arunachal Pradesh,2008,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,3,0,3,0,0
Assam,2008,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,2,0,2,0,0
Chandigarh,2008,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
