state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
ANDHRA PRADESH,MURDER (SECTION 302 IPC),3263,5509,0,3138,5634,12111,17745,2,13142,4601,754,3847
ARUNACHAL PRADESH,MURDER (SECTION 302 IPC),85,113,28,109,61,1108,1169,0,1161,8,2,6
ASSAM,MURDER (SECTION 302 IPC),4628,1650,466,4756,1056,8040,9096,0,8183,913,308,605
BIHAR,MURDER (SECTION 302 IPC),7459,7198,51,7399,7207,52966,60173,0,54985,5188,1450,3738
CHHATTISGARH,MURDER (SECTION 302 IPC),188,1490,0,158,1520,7803,9323,1221,6661,1441,590,851
GOA,MURDER (SECTION 302 IPC),29,47,2,24,50,197,247,0,230,17,9,8
GUJARAT,MURDER (SECTION 302 IPC),353,2085,2,312,2124,26816,28940,5,27873,1062,211,851
HARYANA,MURDER (SECTION 302 IPC),311,2183,0,233,2261,5418,7679,0,5548,2131,868,1263
HIMACHAL PRADESH,MURDER (SECTION 302 IPC),65,206,10,70,191,715,906,0,744,162,65,97
JAMMU & KASHMIR,MURDER (SECTION 302 IPC),22,328,0,25,325,4063,4388,0,4000,388,78,310
JHARKHAND,MURDER (SECTION 302 IPC),1242,1790,0,1274,1758,4027,5785,8,3964,1813,474,1339
KARNATAKA,MURDER (SECTION 302 IPC),722,3487,95,598,3516,10784,14300,17,11455,2828,470,2358
KERALA,MURDER (SECTION 302 IPC),993,886,16,866,997,7005,8002,4,7476,522,148,374
MADHYA PRADESH,MURDER (SECTION 302 IPC),240,5505,0,227,5518,21360,26878,2,22407,4469,1920,2549
MAHARASHTRA,MURDER (SECTION 302 IPC),1633,6119,75,1778,5899,65330,71229,2,67005,4222,944,3278
MANIPUR,MURDER (SECTION 302 IPC),222,49,52,206,13,429,442,2,437,3,2,1
MEGHALAYA,MURDER (SECTION 302 IPC),414,97,17,433,61,2175,2236,0,2220,16,5,11
MIZORAM,MURDER (SECTION 302 IPC),17,26,0,23,20,44,64,0,41,23,23,0
NAGALAND,MURDER (SECTION 302 IPC),14,31,6,12,27,42,69,3,35,31,23,8
ODISHA,MURDER (SECTION 302 IPC),359,2450,8,392,2409,11588,13997,0,12473,1524,337,1187
PUNJAB,MURDER (SECTION 302 IPC),1209,1553,73,1373,1316,2687,4003,0,2791,1212,596,616
RAJASTHAN,MURDER (SECTION 302 IPC),71,2175,0,64,2182,14017,16199,1043,13539,1617,772,845
SIKKIM,MURDER (SECTION 302 IPC),4,7,0,6,5,97,102,0,67,35,24,11
TAMIL NADU,MURDER (SECTION 302 IPC),2271,4420,45,2231,4415,10057,14472,3,11578,2891,1032,1859
TRIPURA,MURDER (SECTION 302 IPC),102,167,34,84,151,292,443,0,318,125,46,79
UTTAR PRADESH,MURDER (SECTION 302 IPC),2220,13983,2381,2695,11127,70108,81235,111,73091,8033,3891,4142
UTTARAKHAND,MURDER (SECTION 302 IPC),78,347,24,52,349,2429,2778,0,2219,559,376,183
WEST BENGAL,MURDER (SECTION 302 IPC),4566,3534,184,4575,3341,27845,31186,62,28689,2435,592,1843
TOTAL (STATES),MURDER (SECTION 302 IPC),32780,67435,3569,33113,63533,369553,433086,2485,382332,48269,16010,32259
A & N ISLANDS,MURDER (SECTION 302 IPC),20,21,0,11,30,244,274,0,271,3,3,0
CHANDIGARH,MURDER (SECTION 302 IPC),16,66,0,17,65,111,176,0,124,52,22,30
D & N HAVELI,MURDER (SECTION 302 IPC),15,13,0,6,22,50,72,0,70,2,0,2
DAMAN & DIU,MURDER (SECTION 302 IPC),1,11,0,1,11,72,83,0,49,34,8,26
DELHI,MURDER (SECTION 302 IPC),544,987,10,478,1043,5730,6773,0,6006,767,394,373
LAKSHADWEEP,MURDER (SECTION 302 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,MURDER (SECTION 302 IPC),57,143,0,54,146,726,872,0,830,42,1,41
TOTAL (UTs),MURDER (SECTION 302 IPC),653,1241,10,567,1317,6933,8250,0,7350,900,428,472
TOTAL (ALL-INDIA),MURDER (SECTION 302 IPC),33433,68676,3579,33680,64850,376486,441336,2485,389682,49169,16438,32731
ANDHRA PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),2030,4836,0,2124,4742,6838,11580,62,8490,3028,547,2481
ARUNACHAL PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),38,30,5,44,19,546,565,0,563,2,1,1
ASSAM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),791,779,199,918,453,1888,2341,0,2061,280,35,245
BIHAR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),4721,12480,140,5856,11205,53209,64414,0,58669,5745,668,5077
CHHATTISGARH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),140,1004,0,104,1040,6571,7611,46,6290,1275,412,863
GOA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),94,102,0,169,27,278,305,0,288,17,3,14
GUJARAT,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),304,2676,3,271,2706,31016,33722,5,33007,710,43,667
HARYANA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),234,2311,0,202,2343,5129,7472,7,5677,1788,389,1399
HIMACHAL PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),28,109,0,44,93,1041,1134,14,921,199,30,169
JAMMU & KASHMIR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),36,1134,0,39,1131,10560,11691,89,10638,964,43,921
JHARKHAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1216,1452,0,1150,1518,3367,4885,12,3539,1334,359,975
KARNATAKA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1009,4939,70,1144,4734,13791,18525,6,14244,4275,248,4027
KERALA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1215,1716,0,1386,1545,17366,18911,19,18095,797,141,656
MADHYA PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),232,6702,0,246,6688,32789,39477,6,34033,5438,1643,3795
MAHARASHTRA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),3162,7771,31,3488,7414,71312,78726,110,74811,3805,446,3359
MANIPUR,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),212,111,109,209,5,70,75,0,72,3,2,1
MEGHALAYA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),162,37,1,175,23,182,205,0,202,3,0,3
MIZORAM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),4,14,0,6,12,31,43,0,21,22,18,4
NAGALAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),24,42,6,8,52,39,91,4,32,55,47,8
ODISHA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),437,3343,12,524,3244,13869,17113,0,15003,2110,357,1753
PUNJAB,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),2132,2298,109,2413,1908,5427,7335,0,5715,1620,577,1043
RAJASTHAN,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),80,3607,1,55,3631,21396,25027,333,22042,2652,1247,1405
SIKKIM,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),3,8,0,7,4,28,32,0,22,10,6,4
TAMIL NADU,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),6412,6753,31,5984,7150,17348,24498,0,19508,4990,1274,3716
TRIPURA,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),29,84,5,28,80,117,197,0,141,56,7,49
UTTAR PRADESH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1782,13116,2526,2038,10334,45263,55597,142,48295,7160,3143,4017
UTTARAKHAND,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),64,293,9,65,283,1995,2278,6,1621,651,369,282
WEST BENGAL,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),1198,3702,153,1252,3495,7143,10638,2,9546,1090,58,1032
TOTAL (STATES),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),27789,81449,3410,29949,75879,368609,444488,863,393546,50079,12113,37966
A & N ISLANDS,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),18,9,0,17,10,137,147,0,142,5,2,3
CHANDIGARH,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),64,118,7,26,149,241,390,0,302,88,25,63
D & N HAVELI,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),6,3,0,6,3,43,46,0,34,12,0,12
DAMAN & DIU,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),0,7,0,1,6,44,50,0,34,16,0,16
DELHI,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),826,950,7,863,906,8927,9833,0,9000,833,438,395
LAKSHADWEEP,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),22,0,0,22,0,0,0,0,0,0,0,0
PUDUCHERRY,ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),31,133,0,96,68,605,673,0,653,20,8,12
TOTAL (UTs),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),967,1220,14,1031,1142,9997,11139,0,10165,974,473,501
TOTAL (ALL-INDIA),ATTEMPT TO COMMIT MURDER (SECTION 307 IPC),28756,82669,3424,30980,77021,378606,455627,863,403711,51053,12586,38467
ANDHRA PRADESH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",120,296,0,125,291,656,947,4,677,266,22,244
ARUNACHAL PRADESH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",1,1,0,0,2,59,61,0,61,0,0,0
ASSAM,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",109,52,15,123,23,163,186,0,145,41,1,40
BIHAR,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",555,527,43,500,539,2467,3006,0,2633,373,51,322
CHHATTISGARH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",6,35,0,2,39,170,209,52,132,25,8,17
GOA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",3,5,0,5,3,41,44,0,39,5,2,3
GUJARAT,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",7,62,0,6,63,746,809,0,798,11,1,10
HARYANA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",13,92,0,9,96,444,540,0,444,96,12,84
HIMACHAL PRADESH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",11,20,2,3,26,116,142,0,124,18,7,11
JAMMU & KASHMIR,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",2,22,0,2,22,188,210,0,166,44,7,37
JHARKHAND,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",24,128,0,42,110,360,470,1,369,100,28,72
KARNATAKA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",28,84,1,21,90,267,357,0,231,126,0,126
KERALA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",90,168,0,107,151,921,1072,0,1007,65,3,62
MADHYA PRADESH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",16,190,0,9,197,791,988,0,672,316,58,258
MAHARASHTRA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",134,367,3,167,331,2319,2650,11,2529,110,13,97
MANIPUR,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",3,8,5,5,1,19,20,0,20,0,0,0
MEGHALAYA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",24,7,2,26,3,41,44,0,44,0,0,0
MIZORAM,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",6,11,0,14,3,4,7,0,4,3,2,1
NAGALAND,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",5,16,0,2,19,8,27,0,4,23,8,15
ODISHA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",3,91,0,15,79,318,397,0,343,54,23,31
PUNJAB,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",235,157,5,264,123,530,653,1,547,105,35,70
RAJASTHAN,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",0,91,0,0,91,459,550,2,454,94,35,59
SIKKIM,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",2,0,0,0,2,3,5,0,4,1,1,0
TAMIL NADU,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",30,45,0,34,41,88,129,0,93,36,2,34
TRIPURA,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",0,1,0,0,1,11,12,0,10,2,2,0
UTTAR PRADESH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",517,3849,803,524,3039,12329,15368,27,13166,2175,1089,1086
UTTARAKHAND,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",24,64,6,14,68,376,444,0,364,80,48,32
WEST BENGAL,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",820,633,58,759,636,5614,6250,1,5689,560,57,503
TOTAL (STATES),"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",2788,7022,943,2778,6089,29508,35597,99,30769,4729,1515,3214
A & N ISLANDS,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",4,0,0,0,4,45,49,0,48,1,0,1
CHANDIGARH,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",2,12,0,10,4,36,40,0,29,11,1,10
D & N HAVELI,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",0,0,0,0,0,6,6,0,6,0,0,0
DAMAN & DIU,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",0,0,0,0,0,7,7,0,1,6,0,6
DELHI,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",67,93,0,83,77,1640,1717,0,1554,163,89,74
LAKSHADWEEP,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",4,21,0,16,9,111,120,0,108,12,0,12
TOTAL (UTs),"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",77,126,0,109,94,1845,1939,0,1746,193,90,103
TOTAL (ALL-INDIA),"CULPABALE HOMICIDE NOT AMOUNTING TO MURDER (SECTION 304, 308 IPC)",2865,7148,943,2887,6183,31353,37536,99,32515,4922,1605,3317
ANDHRA PRADESH,RAPE (SECTION 376 IPC),783,1664,0,839,1608,3550,5158,17,3730,1411,178,1233
ARUNACHAL PRADESH,RAPE (SECTION 376 IPC),26,47,3,46,24,612,636,1,605,30,3,27
ASSAM,RAPE (SECTION 376 IPC),1668,1626,392,1746,1156,4642,5798,0,4840,958,153,805
BIHAR,RAPE (SECTION 376 IPC),1103,1327,94,938,1398,4642,6040,0,5095,945,161,784
CHHATTISGARH,RAPE (SECTION 376 IPC),93,1214,0,106,1201,5064,6265,0,5141,1124,259,865
GOA,RAPE (SECTION 376 IPC),28,61,2,52,35,153,188,1,170,17,1,16
GUJARAT,RAPE (SECTION 376 IPC),68,647,0,84,631,5057,5688,4,5369,315,56,259
HARYANA,RAPE (SECTION 376 IPC),99,940,0,42,997,1557,2554,0,1708,846,180,666
HIMACHAL PRADESH,RAPE (SECTION 376 IPC),46,259,8,57,240,743,983,2,831,150,41,109
JAMMU & KASHMIR,RAPE (SECTION 376 IPC),14,388,0,15,387,1588,1975,8,1592,375,28,347
JHARKHAND,RAPE (SECTION 376 IPC),363,780,0,437,706,1525,2231,11,1541,679,196,483
KARNATAKA,RAPE (SECTION 376 IPC),172,842,20,199,795,1927,2722,4,2075,643,97,546
KERALA,RAPE (SECTION 376 IPC),795,1259,3,865,1186,4805,5991,0,5694,297,62,235
MADHYA PRADESH,RAPE (SECTION 376 IPC),65,4822,0,45,4842,12468,17310,116,13496,3698,758,2940
MAHARASHTRA,RAPE (SECTION 376 IPC),894,2591,10,996,2479,19097,21576,20,20002,1554,215,1339
MANIPUR,RAPE (SECTION 376 IPC),46,46,26,54,12,85,97,1,95,1,0,1
MEGHALAYA,RAPE (SECTION 376 IPC),266,182,44,304,100,605,705,0,690,15,7,8
MIZORAM,RAPE (SECTION 376 IPC),16,122,0,42,96,112,208,0,136,72,59,13
NAGALAND,RAPE (SECTION 376 IPC),8,26,5,8,21,34,55,0,33,22,19,3
ODISHA,RAPE (SECTION 376 IPC),121,1666,4,152,1631,5407,7038,0,6098,940,184,756
PUNJAB,RAPE (SECTION 376 IPC),354,895,43,510,696,716,1412,2,820,590,201,389
RAJASTHAN,RAPE (SECTION 376 IPC),8,1807,0,37,1778,5427,7205,35,5994,1176,408,768
SIKKIM,RAPE (SECTION 376 IPC),12,29,5,16,20,75,95,0,45,50,18,32
TAMIL NADU,RAPE (SECTION 376 IPC),761,962,62,799,862,2024,2886,0,2420,466,104,362
TRIPURA,RAPE (SECTION 376 IPC),90,202,42,35,215,268,483,0,360,123,19,104
UTTAR PRADESH,RAPE (SECTION 376 IPC),278,3593,1009,354,2508,6372,8880,54,7075,1751,809,942
UTTARAKHAND,RAPE (SECTION 376 IPC),20,184,0,17,187,366,553,0,381,172,93,79
WEST BENGAL,RAPE (SECTION 376 IPC),847,1963,71,574,2165,13454,15619,36,14140,1443,124,1319
TOTAL (STATES),RAPE (SECTION 376 IPC),9044,30144,1843,9369,27976,102375,130351,312,110176,19863,4433,15430
A & N ISLANDS,RAPE (SECTION 376 IPC),13,17,0,15,15,156,171,0,163,8,3,5
CHANDIGARH,RAPE (SECTION 376 IPC),12,34,0,5,41,68,109,0,75,34,11,23
D & N HAVELI,RAPE (SECTION 376 IPC),3,5,0,0,8,14,22,0,15,7,2,5
DAMAN & DIU,RAPE (SECTION 376 IPC),0,10,0,1,9,6,15,0,12,3,1,2
DELHI,RAPE (SECTION 376 IPC),355,892,16,369,862,2320,3182,0,2442,740,368,372
LAKSHADWEEP,RAPE (SECTION 376 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RAPE (SECTION 376 IPC),16,15,0,17,14,58,72,0,67,5,3,2
TOTAL (UTs),RAPE (SECTION 376 IPC),399,973,16,407,949,2622,3571,0,2774,797,388,409
TOTAL (ALL-INDIA),RAPE (SECTION 376 IPC),9443,31117,1859,9776,28925,104997,133922,312,112950,20660,4821,15839
ANDHRA PRADESH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,UNDER CUSTODIAL RAPE,0,0,0,0,0,3,3,0,3,0,0,0
BIHAR,UNDER CUSTODIAL RAPE,0,0,0,0,0,1,1,0,1,0,0,0
CHHATTISGARH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
GOA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,UNDER CUSTODIAL RAPE,0,0,0,0,0,6,6,0,6,0,0,0
MAHARASHTRA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,UNDER CUSTODIAL RAPE,0,0,0,0,0,1,1,0,1,0,0,0
NAGALAND,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,UNDER CUSTODIAL RAPE,0,1,0,0,1,0,1,0,0,1,0,1
RAJASTHAN,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),UNDER CUSTODIAL RAPE,0,1,0,0,1,11,12,0,11,1,0,1
A & N ISLANDS,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),UNDER CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),UNDER CUSTODIAL RAPE,0,1,0,0,1,11,12,0,11,1,0,1
ANDHRA PRADESH,UNDER OTHER RAPE,783,1664,0,839,1608,3550,5158,17,3730,1411,178,1233
ARUNACHAL PRADESH,UNDER OTHER RAPE,26,47,3,46,24,612,636,1,605,30,3,27
ASSAM,UNDER OTHER RAPE,1668,1626,392,1746,1156,4639,5795,0,4837,958,153,805
BIHAR,UNDER OTHER RAPE,1103,1327,94,938,1398,4641,6039,0,5094,945,161,784
CHHATTISGARH,UNDER OTHER RAPE,93,1214,0,106,1201,5064,6265,0,5141,1124,259,865
GOA,UNDER OTHER RAPE,28,61,2,52,35,153,188,1,170,17,1,16
GUJARAT,UNDER OTHER RAPE,68,647,0,84,631,5057,5688,4,5369,315,56,259
HARYANA,UNDER OTHER RAPE,99,940,0,42,997,1557,2554,0,1708,846,180,666
HIMACHAL PRADESH,UNDER OTHER RAPE,46,259,8,57,240,743,983,2,831,150,41,109
JAMMU & KASHMIR,UNDER OTHER RAPE,14,388,0,15,387,1588,1975,8,1592,375,28,347
JHARKHAND,UNDER OTHER RAPE,363,780,0,437,706,1525,2231,11,1541,679,196,483
KARNATAKA,UNDER OTHER RAPE,172,842,20,199,795,1927,2722,4,2075,643,97,546
KERALA,UNDER OTHER RAPE,795,1259,3,865,1186,4805,5991,0,5694,297,62,235
MADHYA PRADESH,UNDER OTHER RAPE,65,4822,0,45,4842,12462,17304,116,13490,3698,758,2940
MAHARASHTRA,UNDER OTHER RAPE,894,2591,10,996,2479,19097,21576,20,20002,1554,215,1339
MANIPUR,UNDER OTHER RAPE,46,46,26,54,12,85,97,1,95,1,0,1
MEGHALAYA,UNDER OTHER RAPE,266,182,44,304,100,605,705,0,690,15,7,8
MIZORAM,UNDER OTHER RAPE,16,122,0,42,96,111,207,0,135,72,59,13
NAGALAND,UNDER OTHER RAPE,8,26,5,8,21,34,55,0,33,22,19,3
ODISHA,UNDER OTHER RAPE,121,1666,4,152,1631,5407,7038,0,6098,940,184,756
PUNJAB,UNDER OTHER RAPE,354,894,43,510,695,716,1411,2,820,589,201,388
RAJASTHAN,UNDER OTHER RAPE,8,1807,0,37,1778,5427,7205,35,5994,1176,408,768
SIKKIM,UNDER OTHER RAPE,12,29,5,16,20,75,95,0,45,50,18,32
TAMIL NADU,UNDER OTHER RAPE,761,962,62,799,862,2024,2886,0,2420,466,104,362
TRIPURA,UNDER OTHER RAPE,90,202,42,35,215,268,483,0,360,123,19,104
UTTAR PRADESH,UNDER OTHER RAPE,278,3593,1009,354,2508,6372,8880,54,7075,1751,809,942
UTTARAKHAND,UNDER OTHER RAPE,20,184,0,17,187,366,553,0,381,172,93,79
WEST BENGAL,UNDER OTHER RAPE,847,1963,71,574,2165,13454,15619,36,14140,1443,124,1319
TOTAL (STATES),UNDER OTHER RAPE,9044,30143,1843,9369,27975,102364,130339,312,110165,19862,4433,15429
A & N ISLANDS,UNDER OTHER RAPE,13,17,0,15,15,156,171,0,163,8,3,5
CHANDIGARH,UNDER OTHER RAPE,12,34,0,5,41,68,109,0,75,34,11,23
D & N HAVELI,UNDER OTHER RAPE,3,5,0,0,8,14,22,0,15,7,2,5
DAMAN & DIU,UNDER OTHER RAPE,0,10,0,1,9,6,15,0,12,3,1,2
DELHI,UNDER OTHER RAPE,355,892,16,369,862,2320,3182,0,2442,740,368,372
LAKSHADWEEP,UNDER OTHER RAPE,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,UNDER OTHER RAPE,16,15,0,17,14,58,72,0,67,5,3,2
TOTAL (UTs),UNDER OTHER RAPE,399,973,16,407,949,2622,3571,0,2774,797,388,409
TOTAL (ALL-INDIA),UNDER OTHER RAPE,9443,31116,1859,9776,28924,104986,133910,312,112939,20659,4821,15838
ANDHRA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",1139,2555,0,1140,2554,5177,7731,115,5723,1893,158,1735
ARUNACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",75,70,37,61,47,710,757,9,717,31,8,23
ASSAM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",3794,3199,1481,3950,1562,4758,6320,0,4663,1657,106,1551
