area_name,year,group_name,sub_group_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen
Andhra Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81,2499,5616
Arunachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,59,104
Assam,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21,241,545
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,260,1871
Chandigarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,119,474
Chhattisgarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,618,1684
Dadra & Nagar Haveli,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3,16
Daman & Diu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5,22
Delhi,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,774,4641
Goa,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,53,180
Gujarat,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,500,1655,7252
Haryana,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94,1498,4746
Himachal Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,38,114
Jammu & Kashmir,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,65,221
Jharkhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,172,1250
Karnataka,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,1573,4877
Kerala,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13,413,1298
Lakshadweep,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2,2
Madhya Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,395,1910,7864
Maharashtra,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,888,2961,11189
Manipur,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,115
Meghalaya,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2,45
Mizoram,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,29,51
Nagaland,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,117
Odisha,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34,381,1525
Puducherry,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,172,478
Punjab,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,415,385,1110
Rajasthan,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,100,1170,6574
Sikkim,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,3,3
Tamil Nadu,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1830,2222,2545
Tripura,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,13,51
Uttar Pradesh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,59,1660,7579
Uttarakhand,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,106,106,418
West Bengal,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47,353,1954
Andaman & Nicobar Islands,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6,10
Andhra Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,3316,6993
Arunachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,27,43
Assam,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,52,134,1255
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,340,2445
Chandigarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,135,662
Chhattisgarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,428,1645
