states_uts,district,year,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnapping_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,other_kidnapping,dacoity,dacoity_with_murder,other_dacoity,making_preparation_and_assembly_for_committing_dacoity,robbery,criminal_trespass_burglary,criminal_trespass_or_burglary,house_trespass_house_breaking,theft,auto_theft,other_thefts,unlawful_assembly,riots,riots_communal,riots_industrial,riots_political,riots_caste_conflict,riots_sc_sts_vs_non_scs_sts,riots_other_caste_conflict,riots_agrarian,riots_students,riots_sectarian,riots_others,criminal_breach_of_trust,cheating,forgery,counterfeiting,counterfeit_offences_related_to_counterfeit_coin,counterfeiting_government_stamp,counterfeit_currency_bank_notes,counterfeiting_currency_notes_bank_notes,using_forged_or_counterfeiting_currency_bank_notes,possession_of_forged_or_counterfeiting_currency_bank_notes,making_or_possessing_materials_for_forged_currency_bank_notes,making_or_using_documents_resembling_currency,arson,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,sexual_harassment,assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe,voyeurism,stalking,other_assault_on_women,insult_to_the_modesty_of_women,at_office_premises,other_places_related_to_work,in_public_transport_system,places_other_than_231_232_233,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,deaths_due_to_negligent_driving_act,deaths_due_to_other_causes,offences_against_state,sedition,other_offences_against_state,offences_promoting_enmity_between_different_groups,promoting_enmity_between_different_groups,imputation_assertions_prejudicial_to_national_integration,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,humantrafficking,unnatural_offence,other_ipc_crimes,total_cognizable_ipc_crimes
Uttar Pradesh,Auraiya,2014,34,25,14,0,21,2,0,2,19,6,13,0,99,9,8,1,81,0,3,0,3,0,14,26,26,0,165,119,46,0,20,0,0,0,0,0,0,0,0,0,20,28,78,0,0,0,false,0,0,0,0,0,0,1,7,7,0,0,34,73,56,11,0,6,0,0,0,0,0,0,151,0,175,175,0,0,0,0,0,0,0,0,0,176,0,0,645,1789
Uttar Pradesh,Azamgarh,2014,68,74,28,0,42,4,0,4,38,9,29,0,183,144,0,0,0,39,1,1,0,1,73,143,143,0,387,247,140,0,203,0,0,0,0,0,0,13,0,0,190,53,134,0,1,0,false,1,0,1,0,0,0,0,313,313,0,0,34,102,52,19,3,28,0,0,0,0,0,0,158,0,263,263,0,0,0,0,0,0,0,6,0,218,0,0,396,2881
Uttar Pradesh,Badaun,2014,120,162,33,0,71,0,0,0,71,16,55,2,164,0,14,1,149,0,3,1,2,0,53,50,20,30,331,165,166,0,9,0,0,0,0,0,0,0,0,0,9,27,68,0,1,0,false,1,1,0,0,0,0,2,323,323,0,0,56,148,141,3,0,4,0,0,0,0,0,0,62,0,214,214,0,0,0,0,0,0,0,17,0,221,0,0,782,2919
Uttar Pradesh,Baghpat,2014,83,84,17,0,35,0,0,0,35,9,26,0,121,0,0,1,86,34,3,0,3,3,45,34,34,0,332,184,148,0,56,2,0,0,0,0,0,0,0,0,54,23,61,0,2,0,false,2,2,0,0,0,0,0,9,9,0,0,14,96,35,37,0,20,4,0,0,0,0,0,90,0,93,93,0,0,0,0,0,0,0,0,0,110,0,0,533,1844
Uttar Pradesh,Bahraich,2014,53,35,29,16,68,0,0,0,68,10,58,0,202,0,3,0,178,21,0,0,0,0,14,84,30,54,258,126,132,0,73,0,0,0,0,0,0,0,0,0,73,39,93,0,1,0,false,1,0,0,1,0,0,3,169,169,0,0,51,45,0,0,0,0,45,0,0,0,0,0,0,0,131,131,0,0,0,0,0,0,0,0,0,122,0,0,763,2249
Uttar Pradesh,Ballia,2014,36,29,7,25,21,2,0,2,19,2,17,8,116,27,0,0,88,1,0,0,0,0,28,80,0,80,287,188,99,0,113,0,0,0,18,18,0,0,0,0,95,30,83,0,1,0,false,1,1,0,0,0,0,1,188,188,0,0,24,71,65,2,2,2,0,2,0,0,0,2,95,0,121,121,0,0,0,0,0,0,0,0,0,84,1,2,221,1674
Uttar Pradesh,Balrampur,2014,28,13,9,0,19,1,0,1,18,6,12,0,67,1,0,0,59,7,1,0,1,0,4,24,24,0,68,33,35,0,22,0,0,0,0,0,0,0,0,0,22,13,27,0,0,0,false,0,0,0,0,0,0,0,45,44,1,0,13,28,16,1,0,1,10,0,0,0,0,0,2,0,17,17,0,0,0,0,0,0,0,0,0,18,0,1,130,549
Uttar Pradesh,Banda,2014,42,59,21,0,71,0,0,0,71,5,66,13,151,9,0,3,109,30,0,0,0,0,25,86,86,0,240,119,121,0,86,0,0,0,8,8,0,0,0,0,78,31,65,0,1,0,false,1,0,1,0,0,0,1,40,40,0,0,39,185,32,13,1,11,128,0,0,0,0,0,96,0,125,125,0,0,0,0,0,0,0,0,0,219,0,0,352,1948
Uttar Pradesh,Barabanki,2014,57,42,11,0,35,0,0,0,35,0,35,1,65,0,0,1,63,1,2,0,2,1,17,29,29,0,113,60,53,0,3,0,0,0,0,0,0,1,0,0,2,64,148,0,1,0,false,1,1,0,0,0,0,0,306,306,0,0,25,51,24,11,1,1,14,0,0,0,0,0,36,0,255,254,1,0,0,0,0,0,0,3,0,199,0,1,1006,2471
Uttar Pradesh,Bareilly,2014,132,192,21,4,76,0,0,0,76,7,69,8,337,144,20,1,172,0,4,1,3,2,80,151,151,0,886,509,377,0,153,0,0,0,0,0,0,0,0,0,153,147,462,0,5,0,false,5,5,0,0,0,0,4,181,179,2,0,74,252,251,0,0,1,0,0,0,0,0,0,139,0,247,247,0,0,0,0,0,0,0,87,0,312,0,0,2633,6589
Uttar Pradesh,Basti,2014,31,8,14,2,15,0,0,0,15,0,15,0,53,0,1,0,52,0,2,0,2,0,11,24,24,0,85,42,43,0,20,0,0,0,0,0,0,0,0,0,20,21,19,0,0,0,false,0,0,0,0,0,0,10,86,86,0,0,15,27,19,5,0,3,0,0,0,0,0,0,40,0,105,105,0,0,0,0,0,0,0,0,0,56,0,1,107,752
