area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Mizoram,2008,TVC- Arson,10. Arson,0,32,32
Nagaland,2008,TVC- Arson,10. Arson,0,0,0
Odisha,2008,TVC- Arson,10. Arson,0,187,187
Puducherry,2008,TVC- Arson,10. Arson,,4,4
Punjab,2008,TVC- Arson,10. Arson,,37,37
Rajasthan,2008,TVC- Arson,10. Arson,,311,311
Tamil Nadu,2008,TVC- Arson,10. Arson,2,308,310
Tripura,2008,TVC- Arson,10. Arson,,16,16
Uttar Pradesh,2008,TVC- Arson,10. Arson,,244,244
Uttarakhand,2008,TVC- Arson,10. Arson,,22,22
West Bengal,2008,TVC- Arson,10. Arson,0,83,83
Andaman & Nicobar Islands,2009,TVC- Arson,10. Arson,,2,2
Andhra Pradesh,2009,TVC- Arson,10. Arson,0,478,478
Arunachal Pradesh,2009,TVC- Arson,10. Arson,0,0,0
Assam,2009,TVC- Arson,10. Arson,5,125,130
Bihar,2009,TVC- Arson,10. Arson,0,338,338
Chandigarh,2009,TVC- Arson,10. Arson,0,0,0
Chhattisgarh,2009,TVC- Arson,10. Arson,32,102,134
Delhi,2009,TVC- Arson,10. Arson,,8,8
Goa,2009,TVC- Arson,10. Arson,,6,6
Gujarat,2009,TVC- Arson,10. Arson,2,181,183
Haryana,2009,TVC- Arson,10. Arson,0,91,91
Himachal Pradesh,2009,TVC- Arson,10. Arson,0,48,48
Jammu & Kashmir,2009,TVC- Arson,10. Arson,0,94,94
Jharkhand,2009,TVC- Arson,10. Arson,0,94,94
Karnataka,2009,TVC- Arson,10. Arson,12,110,122
Kerala,2009,TVC- Arson,10. Arson,,156,156
Madhya Pradesh,2009,TVC- Arson,10. Arson,0,889,889
Maharashtra,2009,TVC- Arson,10. Arson,0,580,580
Manipur,2009,TVC- Arson,10. Arson,0,0,0
Meghalaya,2009,TVC- Arson,10. Arson,0,16,16
Mizoram,2009,TVC- Arson,10. Arson,25,,25
Nagaland,2009,TVC- Arson,10. Arson,1,5,6
Odisha,2009,TVC- Arson,10. Arson,0,266,266
Puducherry,2009,TVC- Arson,10. Arson,,4,4
Punjab,2009,TVC- Arson,10. Arson,1,33,34
Sikkim,2009,TVC- Arson,10. Arson,0,4,4
Tamil Nadu,2009,TVC- Arson,10. Arson,6,259,265
Tripura,2009,TVC- Arson,10. Arson,0,20,20
Uttar Pradesh,2009,TVC- Arson,10. Arson,,222,222
Uttarakhand,2009,TVC- Arson,10. Arson,,7,7
West Bengal,2009,TVC- Arson,10. Arson,0,84,84
Andaman & Nicobar Islands,2010,TVC- Arson,10. Arson,,1,1
Andhra Pradesh,2010,TVC- Arson,10. Arson,0,706,706
Arunachal Pradesh,2010,TVC- Arson,10. Arson,0,2,2
Assam,2010,TVC- Arson,10. Arson,2,84,86
Bihar,2010,TVC- Arson,10. Arson,,275,275
Chandigarh,2010,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2010,TVC- Arson,10. Arson,30,111,141
Delhi,2010,TVC- Arson,10. Arson,1,6,7
Goa,2010,TVC- Arson,10. Arson,0,17,17
Gujarat,2010,TVC- Arson,10. Arson,2,212,214
Haryana,2010,TVC- Arson,10. Arson,,92,92
Himachal Pradesh,2010,TVC- Arson,10. Arson,0,36,36
Jammu & Kashmir,2010,TVC- Arson,10. Arson,0,41,41
Jharkhand,2010,TVC- Arson,10. Arson,0,72,72
Karnataka,2010,TVC- Arson,10. Arson,0,129,129
Kerala,2010,TVC- Arson,10. Arson,0,124,124
Madhya Pradesh,2010,TVC- Arson,10. Arson,,777,777
