states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Arunachal Pradesh,"14 - Dowry Prohibition Act, 1961",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"16 - Copyright Act, 1957",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.1 - POA Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,18.2 - POA Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"19 - Forest Act, 1927",2014,5,0,5,8,0,8,5,0,5,0,0,0,18,0,18
Arunachal Pradesh,"20 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"21 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"22 - Information Technology Act, 2000",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"24 - Electricity Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"25 - Wildlife Protection Act, 1972",2014,2,2,4,1,0,1,0,0,0,0,0,0,3,2,5
Arunachal Pradesh,"26 - Bonded Labour System (Abolition) Act, 1976",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,26.3 - Against others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"27 - Environmental (Protection) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"31 - Unlawful Activities (Prevention) Act, 1967",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"34 - Prevention of Damage to Public Property Act, 1984",2014,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Arunachal Pradesh,"35 - Transplantation of Human Organs Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"36 - Trade Marks Act, 1999",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"37 - Prevention of Insults to National Honour Act, 1971",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"38 - State Emblem (Prohibition of Improper Use) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"39 - Lotteries (Regulation) Act, 1998",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"40 - Citizenship Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"41 - Foreigners Act, 1946",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,"42 - Place of Worship (Special Provisions) Act, 1991",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"43 - Religious Institution (Prevention of Misuse) Act, 1988",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"44 - Representation of People Act, 1951",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"45 - Emigration Act, 1983",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"46 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"47 - Infant Substitutes Regulation Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"48 - Anti-Hijacking Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"49 - Atomic Energy Act, 1962",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"50 - Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"51 - Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"52 - Safety of Maritime Navigation Act, 2002",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"53 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,56 - Other SLL crimes,2014,18,1,19,7,4,11,0,0,0,0,0,0,25,5,30
Arunachal Pradesh,57 - Total Cognizable SLL crimes,2014,139,17,156,66,15,81,8,1,9,1,1,2,214,34,248
Assam,"1 - Arms Act, 1959",2014,419,0,419,639,0,639,84,0,84,19,0,19,1161,0,1161
Assam,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,99,2,101,260,8,268,13,0,13,1,0,1,373,10,383
Assam,"3 - Gambling Act, 1867",2014,21,0,21,104,0,104,38,0,38,20,0,20,183,0,183
Assam,"4 - Excise Act, 1944",2014,4,0,4,22,0,22,0,0,0,0,0,0,26,0,26
Assam,5 - Prohibition Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,6 - Explosives and Explosive Substances Act,2014,60,0,60,127,0,127,12,0,12,0,0,0,199,0,199
Assam,"7 - Immoral Traffic (Prevention) Act, 1956",2014,14,0,14,25,0,25,1,0,1,0,0,0,40,0,40
Assam,7.1 - Under Section 5,2014,2,0,2,4,0,4,1,0,1,0,0,0,7,0,7
Assam,7.2 - Under Section 6,2014,3,0,3,1,0,1,0,0,0,0,0,0,4,0,4
Assam,7.3 - Under Section 7,2014,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Assam,7.4 - Under Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,7.5 - Other Sections under ITP Act,2014,9,0,9,18,0,18,0,0,0,0,0,0,27,0,27
Assam,"8 - Indian Railways Act, 1989",2014,6,0,6,21,0,21,3,0,3,0,0,0,30,0,30
Assam,"9 - Registration of Foreigners Act, 1939",2014,2,0,2,10,0,10,3,0,3,0,0,0,15,0,15
Assam,"10 - Protection of Civil Rights Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,10.1 - PCR Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"11 - Passport Act, 1967",2014,1,0,1,6,0,6,1,0,1,0,0,0,8,0,8
Assam,"12 - Essential Commodities Act, 1955",2014,3,0,3,26,0,26,5,0,5,0,0,0,34,0,34
Assam,"13 - Antiquities & Art Treasures Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"14 - Dowry Prohibition Act, 1961",2014,15,0,15,59,0,59,18,0,18,0,0,0,92,0,92
Assam,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"16 - Copyright Act, 1957",2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Assam,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Assam,18.1 - POA Act for crimes committed against SCs,2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Assam,18.2 - POA Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"19 - Forest Act, 1927",2014,5,0,5,5,0,5,0,0,0,0,0,0,10,0,10
Assam,"20 - Prohibition of Child Marriage Act, 2006",2014,1,0,1,1,0,1,1,0,1,0,0,0,3,0,3
Assam,"21 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Assam,"22 - Information Technology Act, 2000",2014,113,0,113,194,0,194,44,0,44,0,0,0,351,0,351
Assam,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"24 - Electricity Act, 2003",2014,63,0,63,64,0,64,9,0,9,0,0,0,136,0,136
Assam,"25 - Wildlife Protection Act, 1972",2014,19,0,19,46,0,46,9,0,9,0,0,0,74,0,74
Assam,"26 - Bonded Labour System (Abolition) Act, 1976",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,26.3 - Against others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"27 - Environmental (Protection) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"31 - Unlawful Activities (Prevention) Act, 1967",2014,66,0,66,82,0,82,6,0,6,0,0,0,154,0,154
Assam,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Assam,"34 - Prevention of Damage to Public Property Act, 1984",2014,20,0,20,39,0,39,4,0,4,0,0,0,63,0,63
