area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Sikkim,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,2,0,2,0,0,0,0,1,0,1
Uttar Pradesh,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,0,1,0,0,0,3,0,0,0,0,0,0,0
Uttarakhand,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,3,0,0,0,3
West Bengal,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,30,8,6,4,0,50,0,0,2,0,0,0,2
Andaman & Nicobar Islands,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,12,0,0,0,12,0,0,2,0,0,0,2
Arunachal Pradesh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,12,0,0,1,0,0,13,1,0,2,0,1,0,4
Chandigarh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chhattisgarh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
