area_name,year,aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,aca02_no_of_persons_arrested_during_the_year,aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,aca07_total_no_of_persons_under_trial_during_the_year,aca08_no_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,aca09_no_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,aca10_no_of_persons_in_whose_cases_trials_were_completed_during_the_year,aca11_no_of_persons_convicted_during_the_year,aca12_no_of_persons_acquitted_during_the_year,aca13_percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,aca14_no_of_persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,aca15_no_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,aca16_no_of_persons_punished_departmentally_during_the_year,aca161_no_of_persons_dismissed_from_service_during_the_year,aca162_no_of_persons_removed_from_service_during_the_year,aca163_no_of_persons_awarded_other_major_punishments_during_the_year,aca164_no_of_persons_awarded_minor_punishments_during_the_year,aca171_no_of_group_a_officers_out_of_above,aca172_no_of_group_b_officers_out_of_above,aca19_no_of_private_persons_involved_during_the_year
Uttar Pradesh,2002,41.0000,36.0000,37.0000,38.0000,277.0000,315.0000,1.0000,306.0000,8.0000,1.0000,7.0000,0.0000,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Chhattisgarh,2004,63.0000,34.0000,40.0000,57.0000,200.0000,257.0000,1.0000,222.0000,34.0000,21.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000
Kerala,2004,0.0000,33.0000,0.0000,231.0000,949.0000,1180.0000,2.0000,1097.0000,81.0000,23.0000,58.0000,0.0000,53.0000,3.0000,0.0000,0.0000,0.0000,0.0000,150.0000,0.0000,0.0000,121.0000
Sikkim,2005,10.0000,32.0000,32.0000,10.0000,34.0000,44.0000,2.0000,39.0000,3.0000,3.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,24.0000
Chhattisgarh,2008,77.0000,31.0000,86.0000,19.0000,219.0000,238.0000,1.0000,206.0000,31.0000,9.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000
Uttar Pradesh,2010,118.0000,31.0000,105.0000,44.0000,714.0000,758.0000,0.0000,728.0000,30.0000,3.0000,27.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jharkhand,2003,28.0000,29.0000,29.0000,37.0000,175.0000,308.0000,0.0000,0.0000,8.0000,4.0000,0.0000,8.0000,98.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12.0000,0.0000
Kerala,2006,0.0000,29.0000,0.0000,186.0000,1237.0000,1423.0000,1.0000,1380.0000,42.0000,26.0000,16.0000,0.0000,18.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.0000
Chandigarh,2007,51.0000,29.0000,67.0000,13.0000,84.0000,97.0000,2.0000,87.0000,8.0000,3.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000
Kerala,2010,4.0000,29.0000,0.0000,176.0000,998.0000,1174.0000,6.0000,0.0000,117.0000,71.0000,46.0000,0.0000,41.0000,2.0000,20.0000,10.0000,0.0000,2.0000,8.0000,47.0000,99.0000,187.0000
Jammu & Kashmir,2002,259.0000,28.0000,111.0000,176.0000,2146.0000,2322.0000,1.0000,2260.0000,61.0000,1.0000,60.0000,1.6000,131.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000
Kerala,2002,0.0000,28.0000,0.0000,278.0000,560.0000,838.0000,0.0000,758.0000,80.0000,45.0000,35.0000,0.0000,33.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.0000,0.0000,178.0000
Kerala,2009,0.0000,28.0000,0.0000,213.0000,398.0000,455.0000,12.0000,0.0000,150.0000,71.0000,60.0000,0.0000,32.0000,7.0000,5.0000,0.0000,1.0000,1.0000,3.0000,7.0000,83.0000,173.0000
Bihar,2001,27.0000,26.0000,10.0000,43.0000,1097.0000,1140.0000,2.0000,1128.0000,10.0000,8.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,17.0000,23.0000
Mizoram,2009,14.0000,26.0000,37.0000,2.0000,1.0000,3.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,1.0000,9.0000
Mizoram,2010,37.0000,26.0000,23.0000,3.0000,3.0000,6.0000,0.0000,3.0000,3.0000,0.0000,3.0000,0.0000,2.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,10.0000
Sikkim,2006,32.0000,25.0000,47.0000,10.0000,39.0000,49.0000,3.0000,38.0000,8.0000,3.0000,5.0000,0.0000,4.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,2.0000,30.0000
Jharkhand,2008,15.0000,25.0000,25.0000,51.0000,392.0000,51.0000,1.0000,442.0000,0.0000,0.0000,0.0000,0.0000,33.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000
Jharkhand,2009,15.0000,25.0000,25.0000,51.0000,392.0000,51.0000,1.0000,442.0000,0.0000,0.0000,0.0000,0.0000,33.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000
Bihar,2002,10.0000,24.0000,12.0000,22.0000,1128.0000,1160.0000,14.0000,1136.0000,10.0000,9.0000,1.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,13.0000,11.0000
Sikkim,2010,77.0000,24.0000,85.0000,10.0000,49.0000,59.0000,0.0000,58.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,13.0000
Kerala,2005,234.0000,23.0000,0.0000,234.0000,1097.0000,1331.0000,0.0000,1237.0000,94.0000,33.0000,61.0000,0.0000,18.0000,38.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.0000,35.0000,0.0000
Sikkim,2007,47.0000,23.0000,45.0000,14.0000,38.0000,52.0000,0.0000,45.0000,7.0000,5.0000,2.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,3.0000,28.0000
Nagaland,2008,14.0000,23.0000,32.0000,5.0000,14.0000,19.0000,0.0000,17.0000,2.0000,1.0000,1.0000,0.0000,32.0000,12.0000,0.0000,0.0000,0.0000,0.0000,12.0000,8.0000,4.0000,4.0000
Kerala,2008,0.0000,22.0000,0.0000,193.0000,1651.0000,1844.0000,72.0000,1642.0000,130.0000,85.0000,45.0000,0.0000,18.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,49.0000,62.0000
Kerala,2003,0.0000,20.0000,0.0000,267.0000,758.0000,1025.0000,2.0000,949.0000,74.0000,26.0000,48.0000,0.0000,51.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,230.0000,180.0000
Jammu & Kashmir,2004,63.0000,20.0000,59.0000,24.0000,2264.0000,2288.0000,26.0000,2110.0000,152.0000,7.0000,145.0000,0.0000,98.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,0.0000
Nagaland,2001,0.0000,19.0000,0.0000,19.0000,0.0000,19.0000,0.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,1.0000,1.0000,0.0000,0.0000,0.0000,8.0000,2.0000,1.0000
Chhattisgarh,2007,70.0000,19.0000,77.0000,7.0000,228.0000,235.0000,0.0000,219.0000,16.0000,4.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000
Puducherry,2007,10.0000,18.0000,28.0000,0.0000,24.0000,24.0000,0.0000,18.0000,6.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000
Chandigarh,2006,46.0000,17.0000,51.0000,10.0000,77.0000,87.0000,1.0000,84.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000
Nagaland,2004,0.0000,16.0000,16.0000,2.0000,5.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,258.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,119.0000
Sikkim,2004,7.0000,16.0000,10.0000,13.0000,27.0000,40.0000,3.0000,34.0000,3.0000,1.0000,2.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,23.0000
Jharkhand,2006,16.0000,16.0000,16.0000,12.0000,361.0000,16.0000,0.0000,361.0000,1.0000,1.0000,0.0000,100.0000,12.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000
Uttar Pradesh,2005,159.0000,15.0000,135.0000,43.0000,414.0000,457.0000,6.0000,436.0000,15.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jharkhand,2007,15.0000,15.0000,15.0000,18.0000,377.0000,15.0000,0.0000,392.0000,0.0000,0.0000,0.0000,0.0000,19.0000,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000
