state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
TAMIL NADU,"ARMS ACT, 1959",290,274,0,402,162,776,938,0,731,207,66,141
TRIPURA,"ARMS ACT, 1959",14,35,5,10,34,81,115,0,18,97,2,95
UTTAR PRADESH,"ARMS ACT, 1959",578,26556,142,601,26391,148505,174896,0,147662,27234,21136,6098
UTTARAKHAND,"ARMS ACT, 1959",36,508,0,20,524,5216,5740,1,3835,1904,1508,396
WEST BENGAL,"ARMS ACT, 1959",3219,2911,111,3847,2172,21164,23336,17,22614,705,29,676
TOTAL (STATES),"ARMS ACT, 1959",11197,59339,441,12010,58085,323195,381280,1012,323768,56500,33523,22977
A & N ISLANDS,"ARMS ACT, 1959",0,0,0,0,0,1,1,0,1,0,0,0
CHANDIGARH,"ARMS ACT, 1959",15,17,3,3,26,73,99,0,92,7,6,1
D & N HAVELI,"ARMS ACT, 1959",0,2,0,2,0,13,13,0,12,1,0,1
DAMAN & DIU,"ARMS ACT, 1959",3,0,0,3,0,4,4,0,4,0,0,0
DELHI,"ARMS ACT, 1959",1328,1194,1,1428,1093,23612,24705,0,21842,2863,1660,1203
LAKSHADWEEP,"ARMS ACT, 1959",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"ARMS ACT, 1959",0,232,0,0,232,409,641,0,224,417,21,396
TOTAL (UTs),"ARMS ACT, 1959",1346,1445,4,1436,1351,24112,25463,0,22175,3288,1687,1601
TOTAL (ALL-INDIA),"ARMS ACT, 1959",12543,60784,445,13446,59436,347307,406743,1012,345943,59788,35210,24578
ANDHRA PRADESH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",403,917,0,477,843,1852,2695,0,2126,569,118,451
ARUNACHAL PRADESH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",31,45,7,46,23,342,365,0,365,0,0,0
ASSAM,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",438,180,39,439,140,1423,1563,0,1409,154,18,136
BIHAR,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",609,646,2,518,735,2655,3390,0,3196,194,41,153
CHHATTISGARH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",98,530,0,89,539,1302,1841,0,1481,360,178,182
GOA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",49,56,0,66,39,392,431,0,419,12,2,10
GUJARAT,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",19,102,0,10,111,1687,1798,0,1711,87,19,68
HARYANA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",146,1125,0,123,1148,3345,4493,0,3521,972,541,431
HIMACHAL PRADESH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",155,639,0,182,612,1684,2296,7,1836,453,143,310
JAMMU & KASHMIR,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",10,573,0,10,573,3152,3725,0,3280,445,49,396
JHARKHAND,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",79,226,0,92,213,629,842,0,641,201,112,89
KARNATAKA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",145,298,3,126,314,1374,1688,0,1409,279,28,251
KERALA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",214,839,0,225,828,3748,4576,6,4017,553,387,166
MADHYA PRADESH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",31,976,0,31,976,3947,4923,0,3951,972,476,496
MAHARASHTRA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",406,4734,0,679,4461,20420,24881,142,16109,8630,2993,5637
MANIPUR,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",139,88,24,163,40,1133,1173,11,1138,24,22,2
