area_name,year,group_name,sub_group_name,loss_of_property_1_10_crores,loss_of_property_10_25_crores,loss_of_property_25_50_crores,loss_of_property_50_100_crores,loss_of_property_above_100_crores
Jammu & Kashmir,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Jharkhand,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Karnataka,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,13,0,0,0,0
Maharashtra,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4,0,0,0,1
Meghalaya,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Nagaland,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,10,0,0,0,0
Odisha,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Punjab,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,205,,,,
Tamil Nadu,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,,,,
Uttarakhand,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2,,,,
West Bengal,2001,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Andhra Pradesh,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
Bihar,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Chandigarh,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
Chhattisgarh,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,10,0,0,0,0
Daman & Diu,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Gujarat,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,1,0,2,1
Haryana,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Himachal Pradesh,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Jammu & Kashmir,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Karnataka,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Madhya Pradesh,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Maharashtra,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,16,3,2,0,2
Meghalaya,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Nagaland,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6,0,0,0,0
Odisha,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Punjab,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,79,0,0,0,0
Tamil Nadu,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
West Bengal,2002,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Andhra Pradesh,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4,2,3,0,0
Arunachal Pradesh,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Bihar,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Chandigarh,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Chhattisgarh,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Dadra & Nagar Haveli,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2,,,,
Daman & Diu,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Delhi,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,5,0,0,0,0
Goa,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,,,,
Gujarat,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,1,1,0,0
Haryana,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Himachal Pradesh,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Jammu & Kashmir,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Jharkhand,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Karnataka,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6,0,0,1,0
Maharashtra,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,23,3,1,0,0
Meghalaya,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,0,0,0,0
Nagaland,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Odisha,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Punjab,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Sikkim,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,,,,
Tamil Nadu,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,,,,
West Bengal,2003,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
Andhra Pradesh,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
Arunachal Pradesh,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Bihar,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Chhattisgarh,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Dadra & Nagar Haveli,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,5,0,0,1,
Delhi,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2,,,,
Gujarat,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,5,0,1,0,0
Himachal Pradesh,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Karnataka,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2,0,0,0,0
Madhya Pradesh,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Maharashtra,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,12,1,1,2,1
Manipur,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Meghalaya,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Mizoram,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Nagaland,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,0,0,0,0
Odisha,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Punjab,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,3,0,1,0,0
Sikkim,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4,,,,
Tamil Nadu,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
West Bengal,2004,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Andaman & Nicobar Islands,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1,1,,,
Andhra Pradesh,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Arunachal Pradesh,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Assam,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
Bihar,2005,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0,0,0,0,0
